,index,clean,injury_report
0,4293,Promotion Olympics Futures Game JRODshow taking moments granted httpstcoxZbCyHqYDr,0
1,4317,Servais said use next couple days discuss start Sunday He say Sheffield would start also say would start either,0
2,3074,Dodgers covering bases inning,0
3,2522,ableM How dare son,0
4,5092,Cubs crawlyscubs Yo Happy bday Crawly I would send bucket White Claw dump head seats I could,0
5,8695,Reds take series opener Cubs Heck night bullpen allowing one hit last four innings,0
6,1220,Update guess,0
7,5099,MiserableSDFan OMG I think I felt real hostility,0
8,552,First time Josh Hader allowed runs backtoback appearances since Aug Nick Castellanos continues produce giving Reds lead th vs Brewers,0
9,13104,Anthony Rizzo Has Tested Positive COVID httpstcoCRnmQppP httpstcoEZyLRebH,1
10,2128,On Frankie Montas deploying splitter effect Astros early point catcher Aramis Garcia noted working Thursday Athletics httpstcoPEZCQUl,0
11,7809,Going Sweep Seattle SquadUp httpstcoiFxAksub,0
12,2290,JeffFletcherOCR Nothing left play Get healthy next year,0
13,7382,Actually McKenna going third,0
14,12251,Blake Snell scratched start tonight per Padres manager Jayce Tingler Snell feeling weather Craig Stammen start tonight Friars,1
15,3930,garygold Sounds like tomorrow,0
16,10036,hiramboyd Well see Big list,0
17,13570,New First Pitch Podcast We detail everything need know update fantasy baseball team Tune daily news injuries pickups consider todays streamers Apple httpstcoDFXXfYDqR Spotify httpstcokUUWauvjf httpstcolhDDDStd,1
18,1849,alexvalentine Spread like hair appears,0
19,4016,iamnotchjohnson Best SS I seen Bay Area,0
20,1949,Phillies lineup vs SD pm NBCSPFSWIP Herrera Segura Realmuto Harper McCutchen Hoskins Gregorius Bohm Eflin,0
21,9128,Umpires conferred ruled went foul,0
22,13963,Machado injured diving play He comes game Daniel Hudson relieving Daniel Camarena bases loaded one game seventh,1
23,2687,davesessions days huh Man would rough stretched whole month featured four contiguous US time zones Ok ok contest Christmas big one,0
24,13779,Acuna accidentally chopblocked Kannapolis pitcher Garvin Alston slide I thought Alston would leave He stayed injured knee backing home plate coming Dont play baseball kids,1
25,13352,Red Sox place Jarren Duran COVID related injured list httpstcoZnoevU httpstcoUvEyaOSyJ,1
