,index,tweet,injury_report
0,904,"Cora on Ohtani, who will start on the mound against the #RedSox on Tuesday -- 'You can tell he's having fun doing it.'",0
1,12038,All love for Tío Albert.  https://t.co/Yi7n0jQpe3,0
2,10974,"Thu. vs. OAK: Kiner-Falefa 6, Lowe 3, Garcia 8, Gallo 9, White 7, Calhoun DH, Solak 4, Ibanez 5, Trevino 2, Allard 1",0
3,5726,"#Marlins manager Don Mattingly said ""it's something they'll take about"" in regards to bringing back Pablo López since he only threw one pitch.",0
4,4790,"One bright spot for the Cubs: Javy Báez has certainly come to life of late.   Over his last 3 games, he is 6-for-10 with a 2B, 3 HR and 7 RBI.  He also has 6 BBs in his last 9 games.",0
5,6547,The Astros activated Joe Smith from the IL and optioned Taylor Jones to Triple A. So they’ve got a nine-man bullpen and a three-man bench for now.,1
6,11139,"#Rays make room to add Brujan as expected. To do so, they place Brosseau on the IL due to a right oblique strain.",1
7,15164,Congratulations @JerryRecco!  https://t.co/tMAdXVnyGK,0
8,4425,Arrieta would pitch next against the Phillies …,0
9,9912,Anthony Bass opens for the Marlins tonight.,0
10,1964,A no-hit foolproof lineup?  https://t.co/a9NdsiOdCk,0
11,14264,#TheRiseofElNiño  https://t.co/n4KfIqv31g,0
12,7769,Cubs activate Nico Hoerner off the IL.  Sergio Alcántara optioned to Iowa.,1
13,4930,"Jam du jour: ""Been Down So Long"" by The Doors.  Today is 50th anniversary of the Lizard King's death.   https://t.co/NTJiaAQcgs",0
14,147,"Mets fans are on their feet in the Bronx after Taijuan Walker records five no-hit innings against the Yankees. His pitch count (87) suggests he has one more inning in him, but there is some movement happening in the Mets bullpen.",0
15,7822,"The Sox announce that following further evaluation, Yasmani Grandal did have surgery to repair the torn tendon in his left knee. There will be an updated timeline for his return at some point, but he's still expected to return before the end of the regular season.",1
16,10810,@DanielAlvarezEE @BallyMarlins devastated,0
17,3663,"After review, Yan Gomes throws out another runner. Tommy Pham beat the throw but Alcides Escobar held the tag long enough for Pham to slide off the base. Still looks good in the stat sheet.",0
18,12367,Adames is called by umpire John Libka for sliding into the infield and hampering throw to first for a double play on Yelich. It is upheld on review. Add that to Eddings' strike zone and #Brewers fans are not pleased.,0
19,12302,@BWilliamsonNFL Bo!   https://t.co/C5noROob0i,0
20,6191,Leave it to Juan Soto to pick a lefty-lefty matchup with Kevin Long for his first Home Run Derby.,0
21,369,"Ok, maybe it can. 14-7 now after a grand slam by Willy Adames. Wow",0
22,9603,Latest Twin Bills #RedSox podcast with @ProJoBC is here. - All-Star Game picks (3:30) - Chris Sale update (11:20) - #WooSox replacements? (18:00) - Shohei Ohtani amazes (24:45) - Burying the Yankees? (38:00) - Boston's draft prospects (45:15)  https://t.co/b3ojWE2zsr,0
23,1046,I’m on @700wlw with @ChickLudwig talking Reds.,0
24,7130,"@TheNandoNic Most don't mean any harm, and I appreciate the people who care a lot and follow along every night. The crazy ones get muted and scream into the void 🤣",0
25,1604,Next start against the #Brewers.,0
26,2816,"Usually when we talk to pitchers after the game, they say they wanted a chance to go one more inning.   Jordan Lyles is through six innings on 124 pitches; should I ask him after the game if he wanted the 7th?",0
27,10522,The Orioles roster churn continues. They DFA’d Stevie Wilkerson today amid a flurry of moves:  - LHP Alexander Wells optioned - RHP Spencer Watkins selected - RHP Isaac Mattson recalled - RHP Travis Lakins Sr. to IL,1
28,9357,Austin Adams up and about in the bullpen.,0
29,674,"The Diamondbacks are up 1-0 after a half-inning. This is the first time the Padres have trailed since Saturday, a span of 51 innings in which they were tied or led.",0
30,1446,Alcides Escobar is basically on fire right now and I'm not sure what that means for the balance of the universe. Ground-rule double puts the Nationals up 7-5 in the eighth.,0
31,8534,Dave Roberts said David Price was throwing the equivalent of a bullpen today. Still could be on track to start tomorrow.,0
32,6299,"This game is going to extras, barely. Albert Pujols managed to keep his foot on the bag.",0
33,5118,Miggy was mashin' tonight.  https://t.co/jKqQvPCkis,0
34,6939,Curt Casali's average has risen by 74 points in six games. His second Giants homer gives them a 2-0 lead.,0
35,2599,And Diaz comes through with a fielder's choice and Tampa Bay walks off.  #Indians 8 #Rays 9 Final  WP - Fairbanks LP - Clase TIME - 3:39,0
36,4404,They'll make up this game with a twi-night doubleheader July 16 -- the first day after the All-Star break. It'll start at 4:05 p.m.,0
37,11261,"Freddy Peralta on making the All-Star team: ""I was waiting for this moment. It’s a dream come true. This is the first one.""",0
38,6288,sportswriters when they see a great Marriott rate  https://t.co/CV21pQp44P,0
39,6312,It’s entertaining to watch Jazz Chisholm Jr. play baseball.,0
40,13718,"If Gabe Landeskog ever hits the open market (few ever thought that was possible), he could completely change the course of free agency this summer. Our Peter Baugh with an update on his status:  https://t.co/BfpLcZ6Tgf",0
41,10348,@AlexJStumpf Post.,0
42,13103,Chris Paul can’t sniff Steph’s level of play so it’s not. This is a good thing lol,0
43,5183,"@MattMarcotte Just looked it up and, unlike Silence, that's a movie I've actually seen",0
44,5414,🔒'd in.  https://t.co/P1Ue78yMni,0
45,4341,2 more runs score on Mason McCoy's error.,0
46,11707,You love to see it.  #ForTheA  https://t.co/7HcZvxhoi0,0
47,14627,Nate on the mound. Xander turning two. Just like home.  https://t.co/ata8mUKGxA,0
48,2025,"@scottb804 Sure. But I'd be willing to bet Robles would've played it better than Parra (who, let's be honest, shouldn't have to be in that position at this stage of his career but they have no choice right now).",0
49,3310,@eichel2nyr  https://t.co/AhfLfHeV8U has the details,0
50,10952,"Thu. at OAK: Kiner-Falefa 6, White 7, Garcia 8, Gallo 9, Ibanez DH, Lowe 3, Solak 4, Hicks 2, Culberson 5, Dunning 1",0
51,5828,@raford3 León played last night for Corpus Christi for the first time since June 24. He hit a grand slam and a single. He is slashing .236/.347/.419 in 148 at-bats.,0
52,366,"@DOM_Frederic @philhand13 Don't want to go down a rabbit hole but you're kind of saying if they had a diff roster, things would be different. Which of course is true but this IS their starting staff. And in this ONE year, cause of all the FA, you have to judge differently. Too long for twitter. No worries",0
53,4364,"Segura, Realmuto and Harper are 6 for 6 with two walks, a HBP and seven runs scored.",0
54,6340,Really cool note here from Ken about Mookie Betts and the role he’s had in Willy Adames’ success this season.,0
55,15111,I’m curious.. preference?  https://t.co/59o0JzVOca,0
56,12280,A thing I didn’t realize until just now is that the Dodgers had a participant in each of the last six home run derbies (2014-19),0
57,13849,"Morning drive (6-10 a.m.): Toucher and Rich (first, 17.0); The Greg Hill Show (tied for sixth with WGBH, 4.9).",0
58,5633,"""It's a two-run double for Higgy and the #Yankees take a 2-1 lead!"" #TweetLikeSterls",0
59,5678,"Both Derek Jeter and Kim Ng spoke to media during BP yesterday. Here were some of their answers to Deadline-related #Marlins questions. They didn’t show their cards, but could they have tipped their hand if you read between the lines? 🤷🏻‍♀️  https://t.co/z7orABXHW6",0
