,injury_report,tweet,data_cleaned
0,0,"Mets Game 81 of 162, vs. MIL Monday, July 5, 7:10 p.m. RHP Brandon Woodruff (7-3, 1.87)  Nimmo CF Lindor SS D. Smith LF Alonso 1B McNeil 2B Conforto RF Villar 3B McCann C Megill RHP (0-0, 4.82)",Mets Game vs MIL Monday July pm RHP Brandon Woodruff Nimmo CF Lindor SS D Smith LF Alonso B McNeil B Conforto RF Villar B McCann C Megill RHP
1,0,"@Blyzzard211 That is 100% an organizational philosophy, and it's not at all unique to the Mets.",Blyzzard That organizational philosophy unique Mets
2,0,"@rmazzochi Sounds like this weekend, unless the Mets decide to be careful in which case right out of the break. But they're shooting for this weekend.",rmazzochi Sounds like weekend unless Mets decide careful case right break But shooting weekend
3,0,@EddieEddington2 The final eight weeks of 2015.,EddieEddington The final eight weeks
4,0,"@alexdeejames Not weird. Manny Machado was a big comp at the time, in large part because of the Miami connection that A-Rod also shares.",alexdeejames Not weird Manny Machado big comp time large part Miami connection ARod also shares
5,0,"@letsgomets129 I'm not anointing anyone. Full season matter, I couldn't agree more. I just don't understand why there tends to be so much vitriol on this web site when anyone pays the man a compliment.",letsgomets I anointing anyone Full season matter I could agree I understand tends much vitriol web site anyone pays man compliment
6,0,"Co-sign on this. Rojas is one of the league's most thoughtful managers in terms of in-game strategy. Doesn't mean he's always right. Doesn't mean it always works. But there's always a logical thought process.  Plus, the Mets have been in first place for 8+ consecutive weeks.",Cosign Rojas one leagues thoughtful managers terms ingame strategy Doesnt mean always right Doesnt mean always works But always logical thought process Plus Mets first place consecutive weeks
7,0,@alexdeejames He was a super intriguing prospect on draft day especially given his age at the time.,alexdeejames He super intriguing prospect draft day especially given age time
8,0,"@mschwartz35 He can play first and third, and the Mets recently started trying him out in left field as well.",mschwartz He play first third Mets recently started trying left field well
9,0,@MartinoPuccio I didn't say for whom the 2022 debut would be.,MartinoPuccio I say debut would
10,0,"Catching up on minor leagues, the Mets have a really encouraging trend at Double-A Binghamton.  Mark Vientos' last 18 games: .377/.463/.884, 10 home runs  Vientos is still just 21 -- young for the level. If he keeps this up, you can pretty clearly envision a 2022 debut.",Catching minor leagues Mets really encouraging trend DoubleA Binghamton Mark Vientos last games home runs Vientos still young level If keeps pretty clearly envision debut
11,0,@CardileD @WFAN660 @KimJonesSports Thanks Joe!,CardileD WFAN KimJonesSports Thanks Joe
12,0,I'll be on @WFAN660 shortly to talk Mets with the wonderful @KimJonesSports. Tune in! 📻,I WFAN shortly talk Mets wonderful KimJonesSports Tune
13,0,"Luis Rojas on Taijuan Walker (2.44 ERA) not making the National League All-Star team: ""It's hard for me to understand, the way he's been pitching, his name not being there.""",Luis Rojas Taijuan Walker ERA making National League AllStar team Its hard understand way pitching name
14,0,"The Mets split a doubleheader, but maybe Pete Alonso is getting hot.  Recap:   https://t.co/lzFWjDnof4",The Mets split doubleheader maybe Pete Alonso getting hot Recap httpstcolzFWjDnof
15,0,"Chad Green's immaculate inning tonight was the fourth all-time against the Mets. The others: Ivan Nova (2013), Mel Rojas (1994) and Sandy Koufax (1962).  The Mets have two of their own immaculate innings in franchise history: Nolan Ryan (1968) and David Cone (1991).",Chad Greens immaculate inning tonight fourth alltime Mets The others Ivan Nova Mel Rojas Sandy Koufax The Mets two immaculate innings franchise history Nolan Ryan David Cone
16,0,"FINAL/7: Yankees 4, Mets 2  WP: Chad Green LP: Corey Oswalt  📰 Pete Alonso homered again, but the Mets settled for a doubleheader split at Yankee Stadium.  📊 Record: 43-37 📉 Streak: L1 🏃‍♂️ Pace: 87-75  Next: July 5 vs. MIL, 7:10 p.m.",FINAL Yankees Mets WP Chad Green LP Corey Oswalt Pete Alonso homered Mets settled doubleheader split Yankee Stadium Record Streak L Pace Next July vs MIL pm
17,0,"Miguel Castro allows another run to score on a wild pitch. He's had a rough go of it lately, with a 6.48 ERA, six strikeouts, nine walks and two hit batsmen in his last 10 outings.  Yankees 4, Mets 2 after five.",Miguel Castro allows another run score wild pitch Hes rough go lately ERA six strikeouts nine walks two hit batsmen last outings Yankees Mets five
18,0,@BaroneliJoe Yeah it...wasn't great.  https://t.co/ecakrBSGdy,BaroneliJoe Yeah itwas great httpstcoecakrBSGdy
19,0,"Corey Oswalt's final line in a spot start: 4 IP, 4 H, 3 ER, 1 BB, 4 K, 65 pitches. All the damage came on one short-porch homer.  The Mets will need one more spot starter before the break, probably on Wednesday, so it will likely have to be someone other than Oswalt.",Corey Oswalts final line spot start IP H ER BB K pitches All damage came one shortporch homer The Mets need one spot starter break probably Wednesday likely someone Oswalt
20,0,Alonso is slashing .311/.392/.600 with eight RBI over his last 13 games.,Alonso slashing eight RBI last games
21,0,"Pete Alonso has two home runs in his last four at-bats. The latest was a two-run shot off one-time Met Darren O'Day.  Yankees 3, Mets 2, top four.  https://t.co/51BdqdjXHX",Pete Alonso two home runs last four atbats The latest tworun shot onetime Met Darren ODay Yankees Mets top four httpstcoBdqdjXHX
22,0,"@NYPost_Mets You gotta include the Amazon link when you do this, Big Cat.",NYPostMets You got ta include Amazon link Big Cat
23,0,"Gio Urshela just took Corey Oswalt the other way for a Very, Very Yankee Stadium homer. Only 346 feet, but it's good for three runs.  Yankees 3, Mets 0, bottom two.",Gio Urshela took Corey Oswalt way Very Very Yankee Stadium homer Only feet good three runs Yankees Mets bottom two
24,0,@jgrossman90 Me neither.,jgrossman Me neither
25,0,"Jacob deGrom is the Mets' lone All-Star (for now), but he won't be participating in the game itself:   https://t.co/TmNtn7YUc3",Jacob deGrom Mets lone AllStar participating game httpstcoTmNtnYUc
26,0,"@IHNYC3 Field is ready, teams are ready, gates have been open for a while. Should be good to go off on time.",IHNYC Field ready teams ready gates open Should good go time
27,0,"Marcus Stroman and Pete Alonso lauded the vibe in the Mets' clubhouse, calling it the key component to all these comeback wins:  https://t.co/E9aCW4b4g3",Marcus Stroman Pete Alonso lauded vibe Mets clubhouse calling key component comeback wins httpstcoEaCWbg
28,0,"Mets Game 80 of 162, @ NYY Sunday, July 4, 7:05 p.m. LHP Nestor Cortes Jr. (0-0, 1.02)  Nimmo CF Lindor SS D. Smith LF Alonso 1B McCann C Conforto DH Pillar RF Villar 3B Peraza 2B  Oswalt RHP (1-0, 1.42)",Mets Game NYY Sunday July pm LHP Nestor Cortes Jr Nimmo CF Lindor SS D Smith LF Alonso B McCann C Conforto DH Pillar RF Villar B Peraza B Oswalt RHP
29,0,@LFNJSinner I don't think Peraza was really at risk. It was between Almora and McKinney.,LFNJSinner I think Peraza really risk It Almora McKinney
30,0,"Roster move: the Mets optioned Albert Almora Jr. to Triple-A Syracuse to clear roster space for Jonathan Villar.  ""Really tough decision for us,"" Luis Rojas said of Almora's demotion.",Roster move Mets optioned Albert Almora Jr TripleA Syracuse clear roster space Jonathan Villar Really tough decision us Luis Rojas said Almoras demotion
31,0,Here's four-time All-Star Jacob deGrom discussing his decision not to participate in this year's game:  https://t.co/VyNtPYzoZi,Heres fourtime AllStar Jacob deGrom discussing decision participate years game httpstcoVyNtPYzoZi
32,0,@DonnieB52184617 Rockies needed a rep.,DonnieB Rockies needed rep
33,0,"News: Jacob deGrom is the Mets' only All-Star (for now). It's deGrom's fourth career selection, but he said earlier today that he does not plan to pitch in the game.  Taijuan Walker didn't make it. He could still have a chance since deGrom (and likely others) will drop out.",News Jacob deGrom Mets AllStar Its deGroms fourth career selection said earlier today plan pitch game Taijuan Walker make He could still chance since deGrom likely others drop
34,0,🤔🤔🤔,
35,0,"Crazy play, crazy game.  Recap:   https://t.co/AnFR1ab17S",Crazy play crazy game Recap httpstcoAnFRabS
36,0,"FINAL: Mets 10, Yankees 5  WP: Jeurys Familia LP: Aroldis Chapman  📰 Pete Alonso hit a game-tying homer, and the Mets hardly needed a fan-interference double to prove they're the best team in New York.  📊 Record: 43-36 📈 Streak: W2 🏃‍♂️ Pace: 88-74  Next: July 4 @ NYY, 7:05 p.m.",FINAL Mets Yankees WP Jeurys Familia LP Aroldis Chapman Pete Alonso hit gametying homer Mets hardly needed faninterference double prove best team New York Record Streak W Pace Next July NYY pm
37,0,"Officially, it's a fan interference double. Two RBI for José Peraza on this crazy play, then Brandon Nimmo adds two more with a single. The Mets will surely take it.  Mets 9, Yankees 5, top seven.  https://t.co/pcFfqcmk9A",Officially fan interference double Two RBI José Peraza crazy play Brandon Nimmo adds two single The Mets surely take Mets Yankees top seven httpstcopcFfqcmkA
38,0,Oh my God we have a Jeffrey Maier situation at Yankee Stadium.,Oh God Jeffrey Maier situation Yankee Stadium
39,0,"@nycuconn It'll be Pillar. Doubt he's bunting, but you never know.",nycuconn Itll Pillar Doubt bunting never know
40,0,"I don't cover the Yankees, so I don't know their intricacies. But using Aroldis Chapman instead of just sticking with Chad Green for the seventh seemed questionable 10 minutes ago... and downright silly now.  Chapman is gone. Go-ahead run is in scoring position with no outs.",I cover Yankees I know intricacies But using Aroldis Chapman instead sticking Chad Green seventh seemed questionable minutes ago downright silly Chapman gone Goahead run scoring position outs
41,0,"Pete Alonso leads off the seventh with a game-tying homer off Aroldis Chapman. Yankee Stadium is going nuts...and not because of the Yankees fans.  Mets 5, Yankees 5, top seven.  https://t.co/BKtfeGxwwg",Pete Alonso leads seventh gametying homer Aroldis Chapman Yankee Stadium going nutsand Yankees fans Mets Yankees top seven httpstcoBKtfeGxwwg
42,0,@Anthony84255563 Chapman is warming.,Anthony Chapman warming
43,0,"Marcus Stroman's final line:  5 IP, 6 H, 5 R, 3 ER, 1 BB, 0 K, 87 pitches. His ERA is 2.60.  The Mets have three outs to rally. Of note: Yankees closer Aroldis Chapman has allowed 11 runs in his last 5.2 IP.  Yankees 5, Mets 4, mid-six.",Marcus Stromans final line IP H R ER BB K pitches His ERA The Mets three outs rally Of note Yankees closer Aroldis Chapman allowed runs last IP Yankees Mets midsix
44,0,"A one-out single, a shift hit and a Marcus Stroman wild pitch have the Yankees back in front.  Yankees 5, Mets 4, bottom five.",A oneout single shift hit Marcus Stroman wild pitch Yankees back front Yankees Mets bottom five
45,0,Gerrit Cole has allowed as many earned runs in his last two starts as Jacob deGrom has allowed all season.,Gerrit Cole allowed many earned runs last two starts Jacob deGrom allowed season
46,0,"And now Francisco Lindor ties it with an RBI single. Six of the first seven hitters in the fourth inning have reached base.  Mets 4, Yankees 4, top four.",And Francisco Lindor ties RBI single Six first seven hitters fourth inning reached base Mets Yankees top four
47,0,"This time, Brandon Nimmo doesn't leave things up to the replay gods. He swings at the first pitch and laces it into right-center for an RBI single.  And that knocks Gerrit Cole out of the game. He's getting booed by the Yankees fan base.  Yankees 4, Mets 3, top four.",This time Brandon Nimmo leave things replay gods He swings first pitch laces rightcenter RBI single And knocks Gerrit Cole game Hes getting booed Yankees fan base Yankees Mets top four
48,0,@RichardStaff @sschreiber13 enough with the bullying,RichardStaff sschreiber enough bullying
49,0,"Well the Mets are right back in this one.  Michael Conforto walk. Jeff McNeil single. Billy McKinney walk. Tomás Nido RBI single -- all off Gerrit Cole. And the bases are still loaded with no outs.  Yankees 4, Mets 2, top four.",Well Mets right back one Michael Conforto walk Jeff McNeil single Billy McKinney walk Tomás Nido RBI single Gerrit Cole And bases still loaded outs Yankees Mets top four
50,0,"Two Yankees singles in the third inning lead to another run off Marcus Stroman. Falling behind in a seven-inning game is a different animal than when the game goes nine.  Yankees 4, Mets 1 after three.",Two Yankees singles third inning lead another run Marcus Stroman Falling behind seveninning game different animal game goes nine Yankees Mets three
51,0,@MillManner I like to mix ketchup with hot sauce. So yes.,MillManner I like mix ketchup hot sauce So yes
52,0,"Much like the mustard at your Fourth of July BBQs, my timeline is extra zesty today.",Much like mustard Fourth July BBQs timeline extra zesty today
53,1,"Sean Reid-Foley heads to the IL, plus other Mets moves and injury updates:   https://t.co/opZVEDTIvt",Sean ReidFoley heads IL plus Mets moves injury updates httpstcoopZVEDTIvt
54,0,"@ajzahn510 Yeah but Stanton wouldn't have been on base if not for the error, so he wouldn't have scored. Thus, two runs unearned.",ajzahn Yeah Stanton would base error would scored Thus two runs unearned
55,0,"Tim Locastro adds another on a sacrifice fly, which would have ended the inning if not for Francisco Lindor's error. Only one of the three runs against Marcus Stroman are earned.  Yankees 3, Mets 1 after two.",Tim Locastro adds another sacrifice fly would ended inning Francisco Lindors error Only one three runs Marcus Stroman earned Yankees Mets two
56,0,"Kyle Higashioka, which is a fun name to say, just ripped a two-run double off Marcus Stroman.  Yankees 2, Mets 1, bottom two.",Kyle Higashioka fun name say ripped tworun double Marcus Stroman Yankees Mets bottom two
57,0,@a9c2be7b3c534a3  https://t.co/6Xx68iVGYf,acbebca httpstcoXxiVGYf
58,0,@jey69404049 Alonso's flyout went 30 feet further than Smith's homer.,jey Alonso flyout went feet Smiths homer
59,0,@NeoJudai They are not.,NeoJudai They
60,0,"Dominic Smith stays hot with a classic Yankee Stadium homer off Gerrit Cole to the short porch in right.  That's Smith's third homer in his last 13 innings.  Mets 1, Yankees 0, top one.  https://t.co/JOLKEOw5Kt",Dominic Smith stays hot classic Yankee Stadium homer Gerrit Cole short porch right Thats Smiths third homer last innings Mets Yankees top one httpstcoJOLKEOwKt
61,1,Yenssy Díaz is now active. Sean Reid-Foley heads to the IL due to right elbow inflammation.,Yenssy Díaz active Sean ReidFoley heads IL due right elbow inflammation
62,0,"Reliever Yenssy Díaz is also in the house today, though not active yet. The Mets plan to make a move for him before Game 1.",Reliever Yenssy Díaz also house today though active yet The Mets plan make move Game
63,0,"The Mets expect to activate Jonathan Villar between games, Luis Rojas confirms. There's a ""good chance"" he starts Game 2 tonight.",The Mets expect activate Jonathan Villar games Luis Rojas confirms There good chance starts Game tonight
64,0,"Corey Oswalt is the Mets' ""No. 1 candidate"" to start Game 2 today, per Luis Rojas. Tropeano is here to provide length out of the bullpen, if needed.",Corey Oswalt Mets No candidate start Game today per Luis Rojas Tropeano provide length bullpen needed
65,0,"Mets Game 79 of 162, @ NYY Sunday, July 4, 2:05 p.m. RHP Gerrit Cole (8-4, 2.66)  Nimmo CF Lindor SS D. Smith DH Alonso 1B Conforto RF McNeil 2B McKinney LF Nido C Guillorme 3B  Stroman RHP (6-6, 2.45)",Mets Game NYY Sunday July pm RHP Gerrit Cole Nimmo CF Lindor SS D Smith DH Alonso B Conforto RF McNeil B McKinney LF Nido C Guillorme B Stroman RHP
66,0,"@jey69404049 Mets haven't confirmed that, no.",jey Mets confirmed
67,0,Roster move: pitcher Nick Tropeano has been activated as the Mets' 27th man for today's doubleheader.,Roster move pitcher Nick Tropeano activated Mets th man todays doubleheader
68,0,Taijuan Walker said he's somewhat anxious to find out if he made the All-Star team. His teammates certainly feel he deserves it.  Walker's wait will end a little later today.   https://t.co/KpzhEbLLqK,Taijuan Walker said somewhat anxious find made AllStar team His teammates certainly feel deserves Walkers wait end little later today httpstcoKpzhEbLLqK
69,0,"Jonathan Villar, who played two rehab games with Triple-A Syracuse, is due to rejoin the Mets today. That leaves only J.D. Davis still absent from the Mets' Opening Day position player mix. (Davis could return this week.)",Jonathan Villar played two rehab games TripleA Syracuse due rejoin Mets today That leaves JD Davis still absent Mets Opening Day position player mix Davis could return week
70,0,ICYMI: The news on David Peterson (and others who could join the Mets' rotation).   https://t.co/n28EA7j9Af,ICYMI The news David Peterson others could join Mets rotation httpstconEAjAf
71,0,It's an Independence Day back-page sweep for the Mets.  https://t.co/lnJ1SJAdqE,Its Independence Day backpage sweep Mets httpstcolnJSJAdqE
72,0,"""This guy is really stinkin' good.""   https://t.co/KpzhEbLLqK",This guy really stinkin good httpstcoKpzhEbLLqK
73,0,Here's Brandon Nimmo on what he can (and already has) brought to the Mets' offense:  https://t.co/bUzlAUO7eb,Heres Brandon Nimmo already brought Mets offense httpstcobUzlAUOeb
74,0,"Taijuan Walker says he's ""definitely anxious to find out"" if he's made the All-Star team, even though real games are the top priority for him. (The Mets are 12-3 in his starts.)  https://t.co/aEbsa84QvP",Taijuan Walker says definitely anxious find made AllStar team even though real games top priority The Mets starts httpstcoaEbsaQvP
75,0,"Taijuan Walker, All-Star? We'll find out tomorrow.  For now, he's certainly stated his case:   https://t.co/e7J8TWKEQU",Taijuan Walker AllStar Well find tomorrow For certainly stated case httpstcoeJTWKEQU
76,0,@NancyNyMNyGNyR Has to be at least 3.0 IP for the finishing pitcher if the lead is bigger than three runs.,NancyNyMNyGNyR Has least IP finishing pitcher lead bigger three runs
77,0,@NancyNyMNyGNyR He entered with a five-run lead.,NancyNyMNyGNyR He entered fiverun lead
78,0,@SheaKitten Maybe just enjoy a nice win and trust he'll come around? You're not going to get two-hit nights from every player every day.,SheaKitten Maybe enjoy nice win trust come around Youre going get twohit nights every player every day
