,injury_report,tweet
0,0,"Mets Game 81 of 162, vs. MIL Monday, July 5, 7:10 p.m. RHP Brandon Woodruff (7-3, 1.87)  Nimmo CF Lindor SS D. Smith LF Alonso 1B McNeil 2B Conforto RF Villar 3B McCann C Megill RHP (0-0, 4.82)"
1,0,"@Blyzzard211 That is 100% an organizational philosophy, and it's not at all unique to the Mets."
2,0,"@rmazzochi Sounds like this weekend, unless the Mets decide to be careful in which case right out of the break. But they're shooting for this weekend."
3,0,@EddieEddington2 The final eight weeks of 2015.
4,0,"@alexdeejames Not weird. Manny Machado was a big comp at the time, in large part because of the Miami connection that A-Rod also shares."
5,0,"@letsgomets129 I'm not anointing anyone. Full season matter, I couldn't agree more. I just don't understand why there tends to be so much vitriol on this web site when anyone pays the man a compliment."
6,0,"Co-sign on this. Rojas is one of the league's most thoughtful managers in terms of in-game strategy. Doesn't mean he's always right. Doesn't mean it always works. But there's always a logical thought process.  Plus, the Mets have been in first place for 8+ consecutive weeks."
7,0,@alexdeejames He was a super intriguing prospect on draft day especially given his age at the time.
8,0,"@mschwartz35 He can play first and third, and the Mets recently started trying him out in left field as well."
9,0,@MartinoPuccio I didn't say for whom the 2022 debut would be.
10,0,"Catching up on minor leagues, the Mets have a really encouraging trend at Double-A Binghamton.  Mark Vientos' last 18 games: .377/.463/.884, 10 home runs  Vientos is still just 21 -- young for the level. If he keeps this up, you can pretty clearly envision a 2022 debut."
11,0,@CardileD @WFAN660 @KimJonesSports Thanks Joe!
12,0,I'll be on @WFAN660 shortly to talk Mets with the wonderful @KimJonesSports. Tune in! 📻
13,0,"Luis Rojas on Taijuan Walker (2.44 ERA) not making the National League All-Star team: ""It's hard for me to understand, the way he's been pitching, his name not being there."""
14,0,"The Mets split a doubleheader, but maybe Pete Alonso is getting hot.  Recap:   https://t.co/lzFWjDnof4"
15,0,"Chad Green's immaculate inning tonight was the fourth all-time against the Mets. The others: Ivan Nova (2013), Mel Rojas (1994) and Sandy Koufax (1962).  The Mets have two of their own immaculate innings in franchise history: Nolan Ryan (1968) and David Cone (1991)."
16,0,"FINAL/7: Yankees 4, Mets 2  WP: Chad Green LP: Corey Oswalt  📰 Pete Alonso homered again, but the Mets settled for a doubleheader split at Yankee Stadium.  📊 Record: 43-37 📉 Streak: L1 🏃‍♂️ Pace: 87-75  Next: July 5 vs. MIL, 7:10 p.m."
17,0,"Miguel Castro allows another run to score on a wild pitch. He's had a rough go of it lately, with a 6.48 ERA, six strikeouts, nine walks and two hit batsmen in his last 10 outings.  Yankees 4, Mets 2 after five."
18,0,@BaroneliJoe Yeah it...wasn't great.  https://t.co/ecakrBSGdy
19,0,"Corey Oswalt's final line in a spot start: 4 IP, 4 H, 3 ER, 1 BB, 4 K, 65 pitches. All the damage came on one short-porch homer.  The Mets will need one more spot starter before the break, probably on Wednesday, so it will likely have to be someone other than Oswalt."
20,0,Alonso is slashing .311/.392/.600 with eight RBI over his last 13 games.
21,0,"Pete Alonso has two home runs in his last four at-bats. The latest was a two-run shot off one-time Met Darren O'Day.  Yankees 3, Mets 2, top four.  https://t.co/51BdqdjXHX"
22,0,"@NYPost_Mets You gotta include the Amazon link when you do this, Big Cat."
23,0,"Gio Urshela just took Corey Oswalt the other way for a Very, Very Yankee Stadium homer. Only 346 feet, but it's good for three runs.  Yankees 3, Mets 0, bottom two."
24,0,@jgrossman90 Me neither.
25,0,"Jacob deGrom is the Mets' lone All-Star (for now), but he won't be participating in the game itself:   https://t.co/TmNtn7YUc3"
26,0,"@IHNYC3 Field is ready, teams are ready, gates have been open for a while. Should be good to go off on time."
27,0,"Marcus Stroman and Pete Alonso lauded the vibe in the Mets' clubhouse, calling it the key component to all these comeback wins:  https://t.co/E9aCW4b4g3"
28,0,"Mets Game 80 of 162, @ NYY Sunday, July 4, 7:05 p.m. LHP Nestor Cortes Jr. (0-0, 1.02)  Nimmo CF Lindor SS D. Smith LF Alonso 1B McCann C Conforto DH Pillar RF Villar 3B Peraza 2B  Oswalt RHP (1-0, 1.42)"
29,0,@LFNJSinner I don't think Peraza was really at risk. It was between Almora and McKinney.
30,0,"Roster move: the Mets optioned Albert Almora Jr. to Triple-A Syracuse to clear roster space for Jonathan Villar.  ""Really tough decision for us,"" Luis Rojas said of Almora's demotion."
31,0,Here's four-time All-Star Jacob deGrom discussing his decision not to participate in this year's game:  https://t.co/VyNtPYzoZi
32,0,@DonnieB52184617 Rockies needed a rep.
33,0,"News: Jacob deGrom is the Mets' only All-Star (for now). It's deGrom's fourth career selection, but he said earlier today that he does not plan to pitch in the game.  Taijuan Walker didn't make it. He could still have a chance since deGrom (and likely others) will drop out."
34,0,🤔🤔🤔
35,0,"Crazy play, crazy game.  Recap:   https://t.co/AnFR1ab17S"
36,0,"FINAL: Mets 10, Yankees 5  WP: Jeurys Familia LP: Aroldis Chapman  📰 Pete Alonso hit a game-tying homer, and the Mets hardly needed a fan-interference double to prove they're the best team in New York.  📊 Record: 43-36 📈 Streak: W2 🏃‍♂️ Pace: 88-74  Next: July 4 @ NYY, 7:05 p.m."
37,0,"Officially, it's a fan interference double. Two RBI for José Peraza on this crazy play, then Brandon Nimmo adds two more with a single. The Mets will surely take it.  Mets 9, Yankees 5, top seven.  https://t.co/pcFfqcmk9A"
