injury_report,tweet,clean
1,"@Tate_Roberts_ It's baseball, Tate. Other teams have injuries, too. #Cardinals don't even lead the league. Stop using injuries as an excuse, Tate, for ineffectiveness or inactivity in June when they could have added help.  Pretty simple.",TateRoberts Its baseball Tate Other teams injuries Cardinals even lead league Stop using injuries excuse Tate ineffectiveness inactivity June could added help Pretty simple
1,"Former Largo High star Bobby Roundtree, injured in 2019 accident, dies at 23  https://t.co/juZp5BZeDo",Former Largo High star Bobby Roundtree injured accident dies httpstcojuZpBZeDo
1,"@TheJayBaller Showing the injury is completely different than saying, ""here's an inside the park home run"" like nothing else happened on the play.",TheJayBaller Showing injury completely different saying inside park home run like nothing else happened play
1,"@breathehoops that's kinda what he does, same qualities that turned the hawks series in the bucks' favor post-giannis injury.",breathehoops kinda qualities turned hawks series bucks favor postgiannis injury
1,"@Winningugly8 To play second base, I agree with you. Story would be an insurance plan if . . .  You know, I'm not even going to contemplate or put into existence an injury to that player.",Winningugly To play second base I agree Story would insurance plan You know I even going contemplate put existence injury player
1,Trainer came out to check on Chapman but he's staying in.,Trainer came check Chapman staying
1,Up now at Forbes-@Indians are struggling through significant player injuries as they enter the 2nd half. @Indians @WhiteSox @Dodgers @Brewers @Cubs @Padres @Royals @Tigers @Twins    https://t.co/q5Za4amVju,Up ForbesIndians struggling significant player injuries enter nd half Indians WhiteSox Dodgers Brewers Cubs Padres Royals Tigers Twins httpstcoqZaamVju
1,"@KreplineRoland There aren't great options with Kimbrel, Cishek and Kintzler on the IL. Rowan Wick can't pitch every inning and the defense requiring four or six outs didn't help matters last night.",KreplineRoland There great options Kimbrel Cishek Kintzler IL Rowan Wick pitch every inning defense requiring four six outs help matters last night
1,"The #BlueJays have four reliable SPs following the emergence of Stripling/Manoah. But injuries could change that in a hurry and there isn't much depth to work with. Upgrading over Matz might not seem like a priority now, but this team could really use another mid-rotation piece.",The BlueJays four reliable SPs following emergence StriplingManoah But injuries could change hurry much depth work Upgrading Matz might seem like priority team could really use another midrotation piece
1,"Mark Appel’s journey back to the Phillies: Shoulder surgery, a sandwich shop and why he started wearing an A’s hat to Minute Maid Park.  https://t.co/Er7hckKWdw",Mark Appel journey back Phillies Shoulder surgery sandwich shop started wearing A hat Minute Maid Park httpstcoErhckKWdw
