,tweet,clean,injury_report,model_predictions
9,@rcarp04 we didn't get much yesterday other than he was potentially going on the IL and then nothing happened.,rcarp get much yesterday potentially going IL nothing happened,1,0
48,"Here is the group the Nats projected to have at the back end of their bullpen this season, w/ their current status:  Brad Hand - Active Daniel Hudson - Injured List Will Harris - Injured List Tanner Rainey - Injured List Kyle Finnegan - Injured List  Forcing new guys to step up.",Here group Nats projected back end bullpen season w current status Brad Hand Active Daniel Hudson Injured List Will Harris Injured List Tanner Rainey Injured List Kyle Finnegan Injured List Forcing new guys step,1,0
68,Santana to the IL. Corresponding roster move to come.,Santana IL Corresponding roster move come,1,0
118,The #Lions announced today the following roster moves:  Waived - DT Michael Barnett  Waived (Injury Settlement) - WR Chad Hansen  Placed on Reserve/Injured - LB Shaun Dion Hamilton,The Lions announced today following roster moves Waived DT Michael Barnett Waived Injury Settlement WR Chad Hansen Placed ReserveInjured LB Shaun Dion Hamilton,1,0
124,"@psychobilly07 @nolan612 @kileymcd They could have put him on the 60-day IL, which would have opened up the spot. Unless I’m missing something, this looks like a $ saving move. The Giants will place him on the 60-day IL and pay him a major league salary.",psychobilly nolan kileymcd They could put day IL would opened spot Unless I missing something looks like saving move The Giants place day IL pay major league salary,1,0
126,@Ridge62 Smith has a strained confidencer-decuctor-ligament-muscle and needs an IL sing,Ridge Smith strained confidencerdecuctorligamentmuscle needs IL sing,1,0
143,Matt Chapman fouled a ball off his left foot and is down.,Matt Chapman fouled ball left foot,1,0
153,"@KreplineRoland There aren't great options with Kimbrel, Cishek and Kintzler on the IL. Rowan Wick can't pitch every inning and the defense requiring four or six outs didn't help matters last night.",KreplineRoland There great options Kimbrel Cishek Kintzler IL Rowan Wick pitch every inning defense requiring four six outs help matters last night,1,0
173,Cowboys losing ground with COVID-19 just 2 weeks from opener  https://t.co/nMiCu4Ex8u,Cowboys losing ground COVID weeks opener httpstconMiCuExu,1,0
196,Gotta imagine this is like May when Lynn and Los ended up on the IL likely for rest. Get the rest and ready for an October fight.,Got ta imagine like May Lynn Los ended IL likely rest Get rest ready October fight,1,0
198,Marlins SP Zach Thompson is under the weather and has been scratched tonight.,Marlins SP Zach Thompson weather scratched tonight,1,0
220,"The Padres are indeed closing in on a deal to sign right-hander Jake Arrieta. In 20 starts this season, Arrieta has a 6.88 ERA. But the Padres need innings and starts badly with Darvish and Paddack on the IL.",The Padres indeed closing deal sign righthander Jake Arrieta In starts season Arrieta ERA But Padres need innings starts badly Darvish Paddack IL,1,0
252,"Still look back to May 23 when the Mariners fell to 21-26, were without Graveman &amp; Steckenrider due to COVID-19 &amp; the Sunday loss to SD was their 6th straight by a combined score of 46-10.  This team looked like absolute toast.  45-30 with a +10 RD since, including 6 of 10 vs OAK",Still look back May Mariners fell without Graveman amp Steckenrider due COVID amp Sunday loss SD th straight combined score This team looked like absolute toast RD since including vs OAK,1,0
280,@Jeanie_80749 The article isn't about that. I'd suggest reading it before commenting. Teams with lower vax rates are at greater risk for losing players to the COVID IL.,Jeanie The article I would suggest reading commenting Teams lower vax rates greater risk losing players COVID IL,1,0
281,"@donniekellybaby First, let's hope that both OF'ers don't have to go on the IL.",donniekellybaby First let us hope OFers go IL,1,0
290,Curt Casali hit a three-run bomb.  Somehow with Buster Posey on the IL the Giants are still getting premium production from the catcher position.   Story of the season for this team.,Curt Casali hit threerun bomb Somehow Buster Posey IL Giants still getting premium production catcher position Story season team,1,0
317,@kjr_118 @whitesox on the IL,kjr whitesox IL,1,0
375,Benavidez brothers' fight card set for Phoenix postponed due to positive COVID test  https://t.co/MSystsGu2g,Benavidez brothers fight card set Phoenix postponed due positive COVID test httpstcoMSystsGug,1,0
394,Moncada takes an ugly looking slide into third base when motoring there from first on an Abreu single. Looks like he landed funnily on his right wrist. Trainer giving him a long looksee.,Moncada takes ugly looking slide third base motoring first Abreu single Looks like landed funnily right wrist Trainer giving long looksee,1,0
412,Freddy Galvis is a good defensive upgrade… wouldn’t surprise me if he gets a good number of ABs when he gets off IL.,Freddy Galvis good defensive surprise gets good number ABs gets IL,1,0
520,So good to see Mike Moustakas back at the K.  Bummed he is on the IL but he says he’s loving life with the Reds and his leadership role in the clubhouse.  Moose held court with former teammates for quite a while.  Got quite a bear hug from Salvy  https://t.co/sAgKBLWOOL,So good see Mike Moustakas back K Bummed IL says loving life Reds leadership role clubhouse Moose held court former teammates quite Got quite bear hug Salvy httpstcosAgKBLWOOL,1,0
531,@TheTerrys17 Lakins to 60-day IL opens a spot,TheTerrys Lakins day IL opens spot,1,0
536,"The #Rays Ryan Thompson often comes in to clean up an inning.  With Thompson on the IL, Pete Fairbanks with a big K of Semien to end the 7th and maintain a 4-2 lead.",The Rays Ryan Thompson often comes clean inning With Thompson IL Pete Fairbanks big K Semien end th maintain lead,1,0
541,"For subscribers: His doctor estimated that two MRI scans would cost about $500 each. So when he received the bills, he couldn't believe his eyes; he owed more than $14,500.  https://t.co/BZlaPqjPov",For subscribers His doctor estimated two MRI scans would cost So received bills could believe eyes owed httpstcoBZlaPqjPov,1,0
556,Jesus Sanchez to the IL.,Jesus Sanchez IL,1,0
587,"Series Preview # 38 : Diamondbacks vs Padres.  With Tatis Jr. on the IL, with good pitching matchups, Diamondbacks will challenge the Padres.  https://t.co/p89kO93bXa  https://t.co/ZiUmX8It0f",Series Preview Diamondbacks vs Padres With Tatis Jr IL good pitching matchups Diamondbacks challenge Padres httpstcopkObXa httpstcoZiUmXItf,1,0
618,"De La Hoya pulls out of Sept. 11 fight, says he has COVID  https://t.co/a50LeiF3RS",De La Hoya pulls Sept fight says COVID httpstcoaLeiFRS,1,0
