injury_report,tweet,clean
1,Julio Urias (calf) activated for start on Tuesday  https://t.co/x3kvWPWjSA,Julio Urias calf activated start Tuesday httpstcoxkvWPWjSA
1,Matt Chapman fouled a ball off his left foot and is down.,Matt Chapman fouled ball left foot
1,Roberts said Seager's live batting practice went well and a Wednesday activation is a possibility if he feels good tomorrow.,Roberts said Seagers live batting practice went well Wednesday activation possibility feels good tomorrow
1,"The #BlueJays have four reliable SPs following the emergence of Stripling/Manoah. But injuries could change that in a hurry and there isn't much depth to work with. Upgrading over Matz might not seem like a priority now, but this team could really use another mid-rotation piece.",The BlueJays four reliable SPs following emergence StriplingManoah But injuries could change hurry much depth work Upgrading Matz might seem like priority team could really use another midrotation piece
1,“It was terrible.”  Padres pregame: Going for another sweep of Reds; Blake Snell recovering from food poisoning  https://t.co/MpkwUrMfz7,It terrible Padres pregame Going another sweep Reds Blake Snell recovering food poisoning httpstcoMpkwUrMfz
1,Domingo Germán takes over for the Yankees in the 5th inning.   He was tonight's scheduled starter but needed an emergency root canal earlier this afternoon in Seattle.,Domingo Germán takes Yankees th inning He tonights scheduled starter needed emergency root canal earlier afternoon Seattle
1,Geoff had lost his mom to cancer and tore his ACL the same year. In 2021 he was excited to play at @GallatinSchools but the team gear was badly needing repair. His coach called him in to see the new donations &amp; Geoff smiled the whole time. He took care of it as if it were his own  https://t.co/kP4t7Q70Z0,Geoff lost mom cancer tore ACL year In excited play GallatinSchools team gear badly needing repair His coach called see new donations amp Geoff smiled whole time He took care httpstcokPtQZ
1,"Arkansas' KK Robinson (foot) has been fully cleared for all basketball related activities, per Eric Musselman.",Arkansas KK Robinson foot fully cleared basketball related activities per Eric Musselman
1,"Best wishes to Keith Hernandez, who needed eight stitches on his big toe following a hot tub-related gardening accident, per Gary Cohen on the SNY broadcast. Looking forward to seeing Keith back at the ballpark later this week.",Best wishes Keith Hernandez needed eight stitches big toe following hot tubrelated gardening accident per Gary Cohen SNY broadcast Looking forward seeing Keith back ballpark later week
1,"Creighton's Rati Andronikashvili (ACL) and Modestas Kancleris (ACL) are both ""getting close"" to being fully cleared, per Greg McDermott.  McDermott on Andronikashvili and Kancleris: ""Doing most everything except full contact.""",Creightons Rati Andronikashvili ACL Modestas Kancleris ACL getting close fully cleared per Greg McDermott McDermott Andronikashvili Kancleris Doing everything except full contact
1,Wong sidelined again  https://t.co/SzKIgpWtsQ,Wong sidelined httpstcoSzKIgpWtsQ
1,"@bearcub712 Kimbrel has a kid with serious medical issues. I think the pitch was they didn't have to get a whole new set of doctors, etc. which would still be true.",bearcub Kimbrel kid serious medical issues I think pitch get whole new set doctors etc would still true
1,"Poor Derek Hill, in a lot of pain after fouling a ball off his foot, has to sprint down the first-base line about 30 seconds later on an infield grounder.   He's coming back out to play center field in the bottom of the inning.",Poor Derek Hill lot pain fouling ball foot sprint firstbase line seconds later infield grounder Hes coming back play center field bottom inning
1,"Stassi just took a foul ball off his mask and was shaken up, but is staying in the game after being checked out by trainers",Stassi took foul ball mask shaken staying game checked trainers
1,Mark Canha departs early due to eye irritation  https://t.co/bOEri0dmPT,Mark Canha departs early due eye irritation httpstcobOEridmPT
1,Those on active/PUP list count against 90-man roster limit and can return to practice at any time.,Those activePUP list count man roster limit return practice time
1,"C Robert Hainsey will not play Saturday, per Arians. Has been sidelined more than a week. #Bucs",C Robert Hainsey play Saturday per Arians Has sidelined week Bucs
1,"VCU's Ace Baldwin (achilles) is targeting a January 1st return date, per Mike Rhoades. Significant Atlantic 10 news.  Rhoades on Baldwin: ""Doing well and ahead of schedule.""",VCUs Ace Baldwin achilles targeting January st return date per Mike Rhoades Significant Atlantic news Rhoades Baldwin Doing well ahead schedule
1,"De La Hoya pulls out of Sept. 11 fight, says he has COVID  https://t.co/a50LeiF3RS",De La Hoya pulls Sept fight says COVID httpstcoaLeiFRS
1,Bryce Harper is out of the game after getting hit by a deGrom changeup in the top of the sixth. Travis Jankowski now in right field.,Bryce Harper game getting hit deGrom changeup top sixth Travis Jankowski right field
1,"Medical Update on Mike Soroka – This past Thursday while walking to the clubhouse at Truist Park, Mike Soroka felt a pop in his right Achilles.",Medical Update Mike Soroka This past Thursday walking clubhouse Truist Park Mike Soroka felt pop right Achilles
