injury_report,tweet,clean
1,Joey Bart has been taken off the IL in Triple-A  Bart hasn’t played since Aug. 6,Joey Bart taken IL TripleA Bart played since Aug
1,"RE: Koudai Senga. Softbank, his team, does not post players. He will have to be a free agent to come over to MLB. He was supposed to be a free agent after the 2022 season, but his injury this year (Japan's service time rules are different than the US) might push it to 2023.",RE Koudai Senga Softbank team post players He free agent come MLB He supposed free agent season injury year Japans service time rules different US might push
1,@rcarp04 we didn't get much yesterday other than he was potentially going on the IL and then nothing happened.,rcarp get much yesterday potentially going IL nothing happened
1,On @packers zoom Head Coach Matt LaFleur says Jordan Love feels better with the shoulder issue but won’t practice today.  Says there is the “potential” he could play Saturday. Only two QB’s currently on roster but the are working on something for tomorrow.  #Packers,On packers zoom Head Coach Matt LaFleur says Jordan Love feels better shoulder issue practice today Says potential could play Saturday Only two QB currently roster working something tomorrow Packers
1,"UPDATE: Boone said the MRI on Chapman's elbow is ""good news,"" and the reliever could be back after the 10 days on the IL:  https://t.co/4AWYYU54IS",UPDATE Boone said MRI Chapmans elbow good news reliever could back days IL httpstcoAWYYUIS
1,"@GHalston @IanMBrowne Hunter is one of the best RF in baseball, Alex is one of the best LF, Kiké is one of the best CFs. Alex's hamstring issues this season impacted his speed, making him less effective in CF and RF. That OF defensive alignment is really good.",GHalston IanMBrowne Hunter one best RF baseball Alex one best LF Kiké one best CFs Alexs hamstring issues season impacted speed making less effective CF RF That OF defensive alignment really good
1,"@Tate_Roberts_ It's baseball, Tate. Other teams have injuries, too. #Cardinals don't even lead the league. Stop using injuries as an excuse, Tate, for ineffectiveness or inactivity in June when they could have added help.  Pretty simple.",TateRoberts Its baseball Tate Other teams injuries Cardinals even lead league Stop using injuries excuse Tate ineffectiveness inactivity June could added help Pretty simple
1,"Former Largo High star Bobby Roundtree, injured in 2019 accident, dies at 23  https://t.co/juZp5BZeDo",Former Largo High star Bobby Roundtree injured accident dies httpstcojuZpBZeDo
1,"#OTD in 1920 at the Polo Grounds, a fastball by Yankees hurler Carl May hits Cleveland's shortstop Ray Chapman in the head fracturing his skull, Chapman would succumb from his injury. This is believed to be one of the last photos of Chapman colorized by @Dto716  https://t.co/aawil1IqbK",OTD Polo Grounds fastball Yankees hurler Carl May hits Clevelands shortstop Ray Chapman head fracturing skull Chapman would succumb injury This believed one last photos Chapman colorized Dto httpstcoaawilIqbK
1,"#49ers placed CB Davontae Harris and DL Maurice Hurst on the Injured Reserve List.  Their practice squad includes: WR Travis Benjamin, OL Senio Kelemete and TE Jordan Matthews.",ers placed CB Davontae Harris DL Maurice Hurst Injured Reserve List Their practice squad includes WR Travis Benjamin OL Senio Kelemete TE Jordan Matthews
1,@JasonTorkelson @MillerStrib Tonight is his second rehab game,JasonTorkelson MillerStrib Tonight second rehab game
1,Gavin Lux grabbed at his left hamstring coming out of the box and is leaving the game.,Gavin Lux grabbed left hamstring coming box leaving game
1,"#Padres manager Jayce Tingler discusses Blake Snell's slow recovery from illness, Austin Nola's new knee brace, Dinelson Lamet's delayed return after the All-Star break and offers positive thoughts on Nabil Crismatt -- at  https://t.co/swR3eG6hdx",Padres manager Jayce Tingler discusses Blake Snells slow recovery illness Austin Nolas new knee brace Dinelson Lamets delayed return AllStar break offers positive thoughts Nabil Crismatt httpstcoswReGhdx
1,"Pirates director of sports medicine Todd Tomczyk: * Very encouraging news out of Bradenton, as Blake Cederlind was cleared to resume playing catch on flat ground and has made 'tremendous strides' since Tommy John surgery * Nothing new on Trevor Cahill, who remains in walking boot",Pirates director sports medicine Todd Tomczyk Very encouraging news Bradenton Blake Cederlind cleared resume playing catch flat ground made tremendous strides since Tommy John surgery Nothing new Trevor Cahill remains walking boot
1,@dzzoom2_dan With a sprained knee? I would suggest DH is the best idea. At least to start.,dzzoomdan With sprained knee I would suggest DH best idea At least start
1,Santana to the IL. Corresponding roster move to come.,Santana IL Corresponding roster move come
1,Jack Flaherty is leaving the game with the trainer. Oh boy.,Jack Flaherty leaving game trainer Oh boy
1,Jeff Hoffman won’t return to the #Reds immediately following the All-Star break. He’s scheduled to make another rehab start at High-A Dayton on Friday.,Jeff Hoffman return Reds immediately following AllStar break He scheduled make another rehab start HighA Dayton Friday
1,"Chris Sale has a 2.35 ERA in his first three starts back from Tommy John surgery -- against the Orioles, Rangers and Twins.  Next up: He's slated to face the first-place Rays next Tuesday in Tampa.",Chris Sale ERA first three starts back Tommy John surgery Orioles Rangers Twins Next Hes slated face firstplace Rays next Tuesday Tampa
1,Coonrod gets the Buffalo Bisons (wearing Trenton Thunder uniforms) 1-2-3 in his rehab appearance.,Coonrod gets Buffalo Bisons wearing Trenton Thunder uniforms rehab appearance
1,"Peralta's season-high pitch count is 28 (with the Giants back in April).  Coming back from a stint on the COVID-IL and an injury, can't imagine he'll be able to go too deep in the game tomorrow. I bet we'll see a bunch of arms out of the 'pen.",Peraltas seasonhigh pitch count Giants back April Coming back stint COVIDIL injury imagine able go deep game tomorrow I bet see bunch arms pen
1,"@Winningugly8 To play second base, I agree with you. Story would be an insurance plan if . . .  You know, I'm not even going to contemplate or put into existence an injury to that player.",Winningugly To play second base I agree Story would insurance plan You know I even going contemplate put existence injury player
1,@oriolepete @Orioles @shorebirds No. He's shut down indefinitely. Not on the IL. Just not working out or playing.,oriolepete Orioles shorebirds No Hes shut indefinitely Not IL Just working playing
1,NEW AT PIRATES PROSPECTS: Weekly Transaction Analysis: Oneil Cruz Returns From the IL #Pirates #PiratesProspects   https://t.co/gQdQKOe4Ej  https://t.co/w3gJi86r5n,NEW AT PIRATES PROSPECTS Weekly Transaction Analysis Oneil Cruz Returns From IL Pirates PiratesProspects httpstcogQdQKOeEj httpstcowgJirn
1,"Doubt he'll clear waivers. If he doesn't, he'll be remembered as a big part of keeping the Mets a winning ball club with all the injuries. #LGM @billy_mckinney",Doubt clear waivers If remembered big part keeping Mets winning ball club injuries LGM billymckinney
1,The #BlueJays will need to make another 40-man roster move tomorrow when Steven Matz is slated to come off COVID IL.,The BlueJays need make another man roster move tomorrow Steven Matz slated come COVID IL
1,Anthony Rizzo &amp; Aroldis Chapman are back. Here are injury updates on the rest of your favorite #Yankees:    https://t.co/5J9iWoGJsC,Anthony Rizzo amp Aroldis Chapman back Here injury updates rest favorite Yankees httpstcoJiWoGJsC
1,Gio Urshela will also be placed on the IL with his hamstring injury. Can we please hit the reset button on 2021?,Gio Urshela also placed IL hamstring injury Can please hit reset button
1,"The #Padres have placed Ryan Weathers on the 10-day IL with an ankle injury but not filled the roster spot. They'll play with 25 guys tonight in Washington. However, hold the ""adding someone in a trade"" thought. Blake Snell will be activated from the IL tomorrow to start.",The Padres placed Ryan Weathers day IL ankle injury filled roster spot Theyll play guys tonight Washington However hold adding someone trade thought Blake Snell activated IL tomorrow start
1,@CI_Pratt @ESPNNBA Injuries IMO for Lakers. AD cant stay healthy and now Lebron too. Klay could come back like KD. Yes. One piece. But I think they are #1 now atm,CIPratt ESPNNBA Injuries IMO Lakers AD cant stay healthy Lebron Klay could come back like KD Yes One piece But I think atm
1,Julio Urias (calf) activated for start on Tuesday  https://t.co/x3kvWPWjSA,Julio Urias calf activated start Tuesday httpstcoxkvWPWjSA
1,The #Lions announced today the following roster moves:  Waived - DT Michael Barnett  Waived (Injury Settlement) - WR Chad Hansen  Placed on Reserve/Injured - LB Shaun Dion Hamilton,The Lions announced today following roster moves Waived DT Michael Barnett Waived Injury Settlement WR Chad Hansen Placed ReserveInjured LB Shaun Dion Hamilton
1,"It is me, looking at LRT which is clearly the complex and seeing who is in the rehab group and who is in the group who was put on the IL as part of the complex outbreak",It looking LRT clearly complex seeing rehab group group put IL part complex outbreak
1,Two homers for @rhyshoskins in his first game back from the IL! 💪  https://t.co/CsuWa0DHUQ,Two homers rhyshoskins first game back IL httpstcoCsuWaDHUQ
1,Trainer came out to check on Chapman but he's staying in.,Trainer came check Chapman staying
1,@Ridge62 Smith has a strained confidencer-decuctor-ligament-muscle and needs an IL sing,Ridge Smith strained confidencerdecuctorligamentmuscle needs IL sing
1,"🚨 MLB Rehab Alert 🚨  #Yankees Outfielder Clint Frazier is scheduled to DH tonight!   Here is tonight's #Tarpons starting lineup, first pitch at 6:30 PM.  https://t.co/oNf0WQVizA",MLB Rehab Alert Yankees Outfielder Clint Frazier scheduled DH tonight Here tonights Tarpons starting lineup first pitch PM httpstcooNfWQVizA
1,Andre Dillard week-to-week with knee sprain.  https://t.co/2qxde3rMXR,Andre Dillard weektoweek knee sprain httpstcoqxderMXR
