injury_report,tweet,clean
1,"RE: Koudai Senga. Softbank, his team, does not post players. He will have to be a free agent to come over to MLB. He was supposed to be a free agent after the 2022 season, but his injury this year (Japan's service time rules are different than the US) might push it to 2023.",RE Koudai Senga Softbank team post players He free agent come MLB He supposed free agent season injury year Japans service time rules different US might push
1,@rcarp04 we didn't get much yesterday other than he was potentially going on the IL and then nothing happened.,rcarp get much yesterday potentially going IL nothing happened
1,"@GHalston @IanMBrowne Hunter is one of the best RF in baseball, Alex is one of the best LF, Kiké is one of the best CFs. Alex's hamstring issues this season impacted his speed, making him less effective in CF and RF. That OF defensive alignment is really good.",GHalston IanMBrowne Hunter one best RF baseball Alex one best LF Kiké one best CFs Alexs hamstring issues season impacted speed making less effective CF RF That OF defensive alignment really good
1,"@Tate_Roberts_ It's baseball, Tate. Other teams have injuries, too. #Cardinals don't even lead the league. Stop using injuries as an excuse, Tate, for ineffectiveness or inactivity in June when they could have added help.  Pretty simple.",TateRoberts Its baseball Tate Other teams injuries Cardinals even lead league Stop using injuries excuse Tate ineffectiveness inactivity June could added help Pretty simple
1,"Former Largo High star Bobby Roundtree, injured in 2019 accident, dies at 23  https://t.co/juZp5BZeDo",Former Largo High star Bobby Roundtree injured accident dies httpstcojuZpBZeDo
1,"#OTD in 1920 at the Polo Grounds, a fastball by Yankees hurler Carl May hits Cleveland's shortstop Ray Chapman in the head fracturing his skull, Chapman would succumb from his injury. This is believed to be one of the last photos of Chapman colorized by @Dto716  https://t.co/aawil1IqbK",OTD Polo Grounds fastball Yankees hurler Carl May hits Clevelands shortstop Ray Chapman head fracturing skull Chapman would succumb injury This believed one last photos Chapman colorized Dto httpstcoaawilIqbK
1,"@TheJayBaller Showing the injury is completely different than saying, ""here's an inside the park home run"" like nothing else happened on the play.",TheJayBaller Showing injury completely different saying inside park home run like nothing else happened play
1,"@breathehoops that's kinda what he does, same qualities that turned the hawks series in the bucks' favor post-giannis injury.",breathehoops kinda qualities turned hawks series bucks favor postgiannis injury
1,@dzzoom2_dan With a sprained knee? I would suggest DH is the best idea. At least to start.,dzzoomdan With sprained knee I would suggest DH best idea At least start
1,"@Winningugly8 To play second base, I agree with you. Story would be an insurance plan if . . .  You know, I'm not even going to contemplate or put into existence an injury to that player.",Winningugly To play second base I agree Story would insurance plan You know I even going contemplate put existence injury player
1,"Doubt he'll clear waivers. If he doesn't, he'll be remembered as a big part of keeping the Mets a winning ball club with all the injuries. #LGM @billy_mckinney",Doubt clear waivers If remembered big part keeping Mets winning ball club injuries LGM billymckinney
1,Up now at Forbes-@Indians are struggling through significant player injuries as they enter the 2nd half. @Indians @WhiteSox @Dodgers @Brewers @Cubs @Padres @Royals @Tigers @Twins    https://t.co/q5Za4amVju,Up ForbesIndians struggling significant player injuries enter nd half Indians WhiteSox Dodgers Brewers Cubs Padres Royals Tigers Twins httpstcoqZaamVju
1,"@abeds15 @george4593 Um, do you actually remember his 3 years with the Cubs? First year was injury and bad. Second year was bad/mediocre and then second half great. Third, very short 2020 was elite.  So, yeah, I expect some good but some bad and some injured for his remaining two years.",abeds george Um actually remember years Cubs First year injury bad Second year badmediocre second half great Third short elite So yeah I expect good bad injured remaining two years
1,"@KreplineRoland There aren't great options with Kimbrel, Cishek and Kintzler on the IL. Rowan Wick can't pitch every inning and the defense requiring four or six outs didn't help matters last night.",KreplineRoland There great options Kimbrel Cishek Kintzler IL Rowan Wick pitch every inning defense requiring four six outs help matters last night
1,Cody Bellinger is testing his hamstring at 1st base. Hopefully available for tomorrow.,Cody Bellinger testing hamstring st base Hopefully available tomorrow
1,.@j_chisholm3 is wearing yellow batting gloves to honor @ronaldacunajr24 after his injury yesterday 💛  @Marlins | #JuntosMiami  https://t.co/XjZ4KoQlrl,jchisholm wearing yellow batting gloves honor ronaldacunajr injury yesterday Marlins JuntosMiami httpstcoXjZKoQlrl
1,Red Sox Bullpen Struggles // Are The Tampa Bay Rays Ruining Baseball ? // Red Sox COVID Issues – 8/30/2021  https://t.co/c7NKJ7M7i2,Red Sox Bullpen Struggles Are The Tampa Bay Rays Ruining Baseball Red Sox COVID Issues httpstcocNKJMi
1,Gotta imagine this is like May when Lynn and Los ended up on the IL likely for rest. Get the rest and ready for an October fight.,Got ta imagine like May Lynn Los ended IL likely rest Get rest ready October fight
1,"Mark Appel’s journey back to the Phillies: Shoulder surgery, a sandwich shop and why he started wearing an A’s hat to Minute Maid Park.  https://t.co/Er7hckKWdw",Mark Appel journey back Phillies Shoulder surgery sandwich shop started wearing A hat Minute Maid Park httpstcoErhckKWdw
