injury_report,tweet,clean
1,Matt Chapman fouled a ball off his left foot and is down.,Matt Chapman fouled ball left foot
1,Roberts said Seager's live batting practice went well and a Wednesday activation is a possibility if he feels good tomorrow.,Roberts said Seagers live batting practice went well Wednesday activation possibility feels good tomorrow
1,“It was terrible.”  Padres pregame: Going for another sweep of Reds; Blake Snell recovering from food poisoning  https://t.co/MpkwUrMfz7,It terrible Padres pregame Going another sweep Reds Blake Snell recovering food poisoning httpstcoMpkwUrMfz
1,Domingo Germán takes over for the Yankees in the 5th inning.   He was tonight's scheduled starter but needed an emergency root canal earlier this afternoon in Seattle.,Domingo Germán takes Yankees th inning He tonights scheduled starter needed emergency root canal earlier afternoon Seattle
1,OMG Nooooooo!!!!! @Giannis_An34 lands awkwardly on knee and challenging alley-pop to @CapelaClint. He’s being helped off the court. It looks like an ACL.#PrayersUP,OMG Nooooooo GiannisAn lands awkwardly knee challenging alleypop CapelaClint He helped court It looks like ACLPrayersUP
1,"1/#Rays only saving marginal dollars (few hundred thousand) in moving Hill, taking on Hunter, who may never come off the IL the rest of this year. They liked Dyer, who shared catch duties at U. Arizona with Austin Wells, #Yankees 1st round pick in 2020. Plus Archer close to",Rays saving marginal dollars hundred thousand moving Hill taking Hunter may never come IL rest year They liked Dyer shared catch duties U Arizona Austin Wells Yankees st round pick Plus Archer close
1,"Best wishes to Keith Hernandez, who needed eight stitches on his big toe following a hot tub-related gardening accident, per Gary Cohen on the SNY broadcast. Looking forward to seeing Keith back at the ballpark later this week.",Best wishes Keith Hernandez needed eight stitches big toe following hot tubrelated gardening accident per Gary Cohen SNY broadcast Looking forward seeing Keith back ballpark later week
1,"Creighton's Rati Andronikashvili (ACL) and Modestas Kancleris (ACL) are both ""getting close"" to being fully cleared, per Greg McDermott.  McDermott on Andronikashvili and Kancleris: ""Doing most everything except full contact.""",Creightons Rati Andronikashvili ACL Modestas Kancleris ACL getting close fully cleared per Greg McDermott McDermott Andronikashvili Kancleris Doing everything except full contact
1,Mark Canha departs early due to eye irritation  https://t.co/bOEri0dmPT,Mark Canha departs early due eye irritation httpstcobOEridmPT
1,"VCU's Ace Baldwin (achilles) is targeting a January 1st return date, per Mike Rhoades. Significant Atlantic 10 news.  Rhoades on Baldwin: ""Doing well and ahead of schedule.""",VCUs Ace Baldwin achilles targeting January st return date per Mike Rhoades Significant Atlantic news Rhoades Baldwin Doing well ahead schedule
