injury_report,tweet,clean
0,ATs and PTs -- I am limping (or whatever the hand equivalent) in to finishing my book and my hands are hurting. Just simple overuse I think. Any therapies or stretches or modalities you'd recommend?,ATs PTs I limping whatever hand equivalent finishing book hands hurting Just simple overuse I think Any therapies stretches modalities would recommend
0,"""My body feels great, my arm feels great, mentally I’m in a good place, and I’m excited to be here"" - pitchers coming back from a rehab assignment and people in line for their second vaccine shot.",My body feels great arm feels great mentally I good place I excited pitchers coming back rehab assignment people line second vaccine shot
0,Olympic athletes still get condoms – despite COVID rules in Tokyo  https://t.co/n2Yb0r0B5u  https://t.co/NsGm1Wg5Db,Olympic athletes still get condoms despite COVID rules Tokyo httpstconYbrBu httpstcoNsGmWgDb
0,"Both Derek Jeter and Kim Ng spoke to media during BP yesterday. Here were some of their answers to Deadline-related #Marlins questions. They didn’t show their cards, but could they have tipped their hand if you read between the lines? 🤷🏻‍♀️  https://t.co/z7orABXHW6",Both Derek Jeter Kim Ng spoke media BP yesterday Here answers Deadlinerelated Marlins questions They show cards could tipped hand read lines httpstcozorABXHW
0,@haley_darling …as a healthy snack.,haleydarling healthy snack
0,@BrooksAD May or may not have a torn hamstring in the morning 😂😂,BrooksAD May may torn hamstring morning
0,The Yankees Have Their 2nd Covid Outbreak Of The Season As Tonight's Game Against The Red Sox Has Been Cancelled  https://t.co/dvV5Wa7DPH,The Yankees Have Their nd Covid Outbreak Of The Season As Tonights Game Against The Red Sox Has Been Cancelled httpstcodvVWaDPH
0,@MeekPhill_ We have to declare our keepers in mid-July for mid-August draft and he was one of mine.   However there’s a rule if between the date their kept and draft day if someone gets a confirmed season ending injury you can replace them,MeekPhill We declare keepers midJuly midAugust draft one mine However rule date kept draft day someone gets confirmed season ending injury replace
0,", @joerogan tests positive for COVID, says he's taking unapproved deworming drug ivermectin  https://t.co/IgAOZzq2FW #COVID19",joerogan tests positive COVID says taking unapproved deworming drug ivermectin httpstcoIgAOZzqFW COVID
0,"La Russa- Luis Robert will not return this weekend vs. Cubs but says return is ""imminent"".  His play with AAA Charlotte this weekend will be crucial in determining his status.",La Russa Luis Robert return weekend vs Cubs says return imminent His play AAA Charlotte weekend crucial determining status
0,"ICYMI on today's @JenLada, Gabe, and Chewy... ▶️ 🐐 v. 🛥️ ▶️ Worst injuries ▶️ So long, PJ  Find every episode of JGC wherever you get your podcasts!  🍎:  https://t.co/tU7wvowoD0 🟢:  https://t.co/b8AnM9ikFM  https://t.co/IoKyRs5YyW",ICYMI todays JenLada Gabe Chewy v Worst injuries So long PJ Find every episode JGC wherever get podcasts httpstcotUwvowoD httpstcobAnMikFM httpstcoIoKyRsYyW
0,"You hurt Connor Joe, I hurt you.",You hurt Connor Joe I hurt
0,Cora said Houck is feeling good after his start Sunday. He also said they were discussing things roster-wise earlier today. (Bloom actually called Cora mid media session and Cora told him he'd call back.)  Here's the latest on Houck's status  https://t.co/Kmtp2Apcd6,Cora said Houck feeling good start Sunday He also said discussing things rosterwise earlier today Bloom actually called Cora mid media session Cora told would call back Heres latest Houcks status httpstcoKmtpApcd
0,"Jonathan Loaisiga is back with the #Yankees, per Aaron Boone. He will throw on a flat ground and work out today.  Loaisiga will throw a bullpen tomorrow, mix in another 'pen or live in the coming days and then will possibly be active over the weekend, Boone says.",Jonathan Loaisiga back Yankees per Aaron Boone He throw flat ground work today Loaisiga throw bullpen tomorrow mix another pen live coming days possibly active weekend Boone says
0,Stephen Jones: #Cowboys “are going to be careful” with injuries as training camp looms  https://t.co/Tp1jcZz8tG,Stephen Jones Cowboys going careful injuries training camp looms httpstcoTpjcZztG
0,Having eye surgery in the morning. See y'alls later ... I hope.,Having eye surgery morning See alls later I hope
0,Was asked by @JoeyMurr on @Toucherandrich why Wynn got his 5th-year option picked up and not Michel when both have lengthy injury histories. Both have produced when healthy. One answer: scarcity. One spot more valuable than the other. Just harder to find starting-level tackles.,Was asked JoeyMurr Toucherandrich Wynn got thyear option picked Michel lengthy injury histories Both produced healthy One answer scarcity One spot valuable Just harder find startinglevel tackles
0,That foul pop was a net positive for the Dodgers,That foul pop net positive Dodgers
0,"WATCH: Dr. Kavita Patel joins @LesterHoltNBC to discuss students returning to school, kids’ Covid-19 risk, and what families can do to stay safe and healthy.  https://t.co/UPgUdlRqiA",WATCH Dr Kavita Patel joins LesterHoltNBC discuss students returning school kids Covid risk families stay safe healthy httpstcoUPgUdlRqiA
