injury_report,tweet,clean
1,"@GHalston @IanMBrowne Hunter is one of the best RF in baseball, Alex is one of the best LF, Kiké is one of the best CFs. Alex's hamstring issues this season impacted his speed, making him less effective in CF and RF. That OF defensive alignment is really good.",GHalston IanMBrowne Hunter one best RF baseball Alex one best LF Kiké one best CFs Alexs hamstring issues season impacted speed making less effective CF RF That OF defensive alignment really good
1,"@Tate_Roberts_ It's baseball, Tate. Other teams have injuries, too. #Cardinals don't even lead the league. Stop using injuries as an excuse, Tate, for ineffectiveness or inactivity in June when they could have added help.  Pretty simple.",TateRoberts Its baseball Tate Other teams injuries Cardinals even lead league Stop using injuries excuse Tate ineffectiveness inactivity June could added help Pretty simple
1,"Former Largo High star Bobby Roundtree, injured in 2019 accident, dies at 23  https://t.co/juZp5BZeDo",Former Largo High star Bobby Roundtree injured accident dies httpstcojuZpBZeDo
1,"@TheJayBaller Showing the injury is completely different than saying, ""here's an inside the park home run"" like nothing else happened on the play.",TheJayBaller Showing injury completely different saying inside park home run like nothing else happened play
1,"@breathehoops that's kinda what he does, same qualities that turned the hawks series in the bucks' favor post-giannis injury.",breathehoops kinda qualities turned hawks series bucks favor postgiannis injury
1,"@Winningugly8 To play second base, I agree with you. Story would be an insurance plan if . . .  You know, I'm not even going to contemplate or put into existence an injury to that player.",Winningugly To play second base I agree Story would insurance plan You know I even going contemplate put existence injury player
1,@CI_Pratt @ESPNNBA Injuries IMO for Lakers. AD cant stay healthy and now Lebron too. Klay could come back like KD. Yes. One piece. But I think they are #1 now atm,CIPratt ESPNNBA Injuries IMO Lakers AD cant stay healthy Lebron Klay could come back like KD Yes One piece But I think atm
1,Up now at Forbes-@Indians are struggling through significant player injuries as they enter the 2nd half. @Indians @WhiteSox @Dodgers @Brewers @Cubs @Padres @Royals @Tigers @Twins    https://t.co/q5Za4amVju,Up ForbesIndians struggling significant player injuries enter nd half Indians WhiteSox Dodgers Brewers Cubs Padres Royals Tigers Twins httpstcoqZaamVju
1,"@abeds15 @george4593 Um, do you actually remember his 3 years with the Cubs? First year was injury and bad. Second year was bad/mediocre and then second half great. Third, very short 2020 was elite.  So, yeah, I expect some good but some bad and some injured for his remaining two years.",abeds george Um actually remember years Cubs First year injury bad Second year badmediocre second half great Third short elite So yeah I expect good bad injured remaining two years
1,"@KreplineRoland There aren't great options with Kimbrel, Cishek and Kintzler on the IL. Rowan Wick can't pitch every inning and the defense requiring four or six outs didn't help matters last night.",KreplineRoland There great options Kimbrel Cishek Kintzler IL Rowan Wick pitch every inning defense requiring four six outs help matters last night
1,"The #BlueJays have four reliable SPs following the emergence of Stripling/Manoah. But injuries could change that in a hurry and there isn't much depth to work with. Upgrading over Matz might not seem like a priority now, but this team could really use another mid-rotation piece.",The BlueJays four reliable SPs following emergence StriplingManoah But injuries could change hurry much depth work Upgrading Matz might seem like priority team could really use another midrotation piece
1,"The Arizona Diamondbacks retained its ninth position in MLB Pipeline's midseason farm system rankings, but some top prospects are injured.   https://t.co/ahqmlYQXT9",The Arizona Diamondbacks retained ninth position MLB Pipelines midseason farm system rankings top prospects injured httpstcoahqmlYQXT
1,"@fav0010 @MLB In a good lineup. A gold glove caliber 1B who goes like .250/22/70 and hits like 6th would be excellent. He shouldn't be hitting 3rd, but Lindor slow start, injuries and Conforto (and McNeil to an extent) have forced that reality...",fav MLB In good lineup A gold glove caliber B goes like hits like th would excellent He hitting rd Lindor slow start injuries Conforto McNeil extent forced reality
1,"His attendance in question until Saturday because of a positive covid test a week earlier, Troy Polamalu clearly was the favorite among the pro-Steelers fans that made the two-hour drive from #Pittsburgh to attend the ceremony.    https://t.co/92MmJqDps3",His attendance question Saturday positive covid test week earlier Troy Polamalu clearly favorite among proSteelers fans made twohour drive Pittsburgh attend ceremony httpstcoMmJqDps
1,"Still look back to May 23 when the Mariners fell to 21-26, were without Graveman &amp; Steckenrider due to COVID-19 &amp; the Sunday loss to SD was their 6th straight by a combined score of 46-10.  This team looked like absolute toast.  45-30 with a +10 RD since, including 6 of 10 vs OAK",Still look back May Mariners fell without Graveman amp Steckenrider due COVID amp Sunday loss SD th straight combined score This team looked like absolute toast RD since including vs OAK
1,"@donniekellybaby First, let's hope that both OF'ers don't have to go on the IL.",donniekellybaby First let us hope OFers go IL
1,Curt Casali hit a three-run bomb.  Somehow with Buster Posey on the IL the Giants are still getting premium production from the catcher position.   Story of the season for this team.,Curt Casali hit threerun bomb Somehow Buster Posey IL Giants still getting premium production catcher position Story season team
1,"It used to be you’d watch Carlos Rodón to see his wipeout slider, even when he was diminished by injury.   Now, it’s the fastball that’s truly eye-popping.   https://t.co/mcFSzYwUwd  https://t.co/Dez9KfYCui",It used watch Carlos Rodón see wipeout slider even diminished injury Now fastball truly eyepopping httpstcomcFSzYwUwd httpstcoDezKfYCui
1,"@NjTank99 With all the injuries, maybe you end up right. But the point is you’ve been wrong every day for 4  straight months. You’re like kellerman predicting the Brady downfall.",NjTank With injuries maybe end right But point wrong every day straight months You like kellerman predicting Brady downfall
