injury_report,tweet,clean
0,Says here Mancini needs 27:.,Says Mancini needs
0,"""My body feels great, my arm feels great, mentally I’m in a good place, and I’m excited to be here"" - pitchers coming back from a rehab assignment and people in line for their second vaccine shot.",My body feels great arm feels great mentally I good place I excited pitchers coming back rehab assignment people line second vaccine shot
0,Bryan Shaw!!,Bryan Shaw
0,"Mitch Moreland came out with a ""non-related baseball issue"" per Melvin.",Mitch Moreland came nonrelated baseball issue per Melvin
0,Here’s to hoping the Vikings have more punt return yards this season! 🙏🏻  https://t.co/I4xCuHZdzJ,Here hoping Vikings punt return yards season httpstcoIxCuHZdzJ
0,@Mister_Spell Provided they offer him the QO and he rejects it.,MisterSpell Provided offer QO rejects
0,"The #Browns are waiving rookie DT Marvin Wilson, source said.   The most coveted undrafted player back in May, Wilson is wanted back on Cleveland's practice squad -- but the other 31 teams have a shot at him on waivers first.",The Browns waiving rookie DT Marvin Wilson source said The coveted undrafted player back May Wilson wanted back Clevelands practice squad teams shot waivers first
0,"After watching the success of Justin Fields in his first game, who looks better this morning?  cc: @Zanderocker @fred_huebner   #DaBears #BearDown",After watching success Justin Fields first game looks better morning cc Zanderocker fredhuebner DaBears BearDown
0,"Who will close tonight? Boone said ""it could be anyone,"" Chapman included.",Who close tonight Boone said could anyone Chapman included
0,Olympic athletes still get condoms – despite COVID rules in Tokyo  https://t.co/n2Yb0r0B5u  https://t.co/NsGm1Wg5Db,Olympic athletes still get condoms despite COVID rules Tokyo httpstconYbrBu httpstcoNsGmWgDb
0,@jpakey99 @GSOHoppers @QuinnPriester We think you know the answer to that,jpakey GSOHoppers QuinnPriester We think know answer
0,"No. 2 with Aberdeen, No. 10 on the year.",No Aberdeen No year
0,Chicago Cubs Lineup: Anthony Rizzo Leads Off as Willson Contreras Gets Some Rest -  https://t.co/m8ZOwjkE1I (via BN),Chicago Cubs Lineup Anthony Rizzo Leads Off Willson Contreras Gets Some Rest httpstcomZOwjkEI via BN
0,@haley_darling …as a healthy snack.,haleydarling healthy snack
0,"Patriots 53-man roster tracker: Up-to-minute cuts, trades, rumors  https://t.co/L9OOmZI0mr",Patriots man roster tracker Uptominute cuts trades rumors httpstcoLOOmZImr
0,@BrooksAD May or may not have a torn hamstring in the morning 😂😂,BrooksAD May may torn hamstring morning
0,Alex Cora -- 'Every time we lose a series we're disappointed. Now we move on.' #RedSox,Alex Cora Every time lose series disappointed Now move RedSox
0,@PerfectGameLex He should win it regardless,PerfectGameLex He win regardless
0,The diamondbacks are reportedly a major league baseball team,The diamondbacks reportedly major league baseball team
0,#BlueJays announce they’ve acquired RHP Trevor Richards and RHP Bowden Francis from the Brewers for INF Rowdy Tellez.,BlueJays announce acquired RHP Trevor Richards RHP Bowden Francis Brewers INF Rowdy Tellez
0,Keegan Thompson takes another step forward in his development   https://t.co/6HLXbMTlRa,Keegan Thompson takes another step forward development httpstcoHLXbMTlRa
0,Jose Marte is coming in to make his Major League debut for the #Angels,Jose Marte coming make Major League debut Angels
0,Let Lebron have westbrook or cp3 and it’s a wrap son,Let Lebron westbrook cp wrap son
0,Multiple sources have told me Aaron Judge is the player involved.  The five  #RedSox All-Stars were told to take social distancing precautions until the situation is resolved.,Multiple sources told Aaron Judge player involved The five RedSox AllStars told take social distancing precautions situation resolved
0,Xander Bogaerts: ‘Help is on its way’ for Boston Red Sox; Chris Sale ‘is a warrior’  https://t.co/24ubEZgl18,Xander Bogaerts Help way Boston Red Sox Chris Sale warrior httpstcoubEZgl
0,"#Dodgers vs. #DBacks: RF Mookie Betts, 1B Max Muncy, 3B Justin Turner, CF Cody Bellinger, C Will Smith, 2B Chris Taylor, SS Gavin Lux, LF AJ Pollock, LHP David Price.",Dodgers vs DBacks RF Mookie Betts B Max Muncy B Justin Turner CF Cody Bellinger C Will Smith B Chris Taylor SS Gavin Lux LF AJ Pollock LHP David Price
0,"La Russa- Luis Robert will not return this weekend vs. Cubs but says return is ""imminent"".  His play with AAA Charlotte this weekend will be crucial in determining his status.",La Russa Luis Robert return weekend vs Cubs says return imminent His play AAA Charlotte weekend crucial determining status
0,Derek Dietrich has opted out of his Yankees deal @ByRobertMurray 1st,Derek Dietrich opted Yankees deal ByRobertMurray st
0,Kevin Gausman is the best pitcher this side of Jacob deGrom and the #SFGiants wrapped up the first half as the best team in baseball.  Remember how unrealistic that playoff chatter felt this spring? It's all very real heading into the All-Star break.   https://t.co/EQd0K7W5NK,Kevin Gausman best pitcher side Jacob deGrom SFGiants wrapped first half best team baseball Remember unrealistic playoff chatter felt spring Its real heading AllStar break httpstcoEQdKWNK
0,@Iostcrecents @BuxtonSZN @StreleckiSteve real classy windom,Iostcrecents BuxtonSZN StreleckiSteve real classy windom
0,Danny Jansen caught John Axford down in Triple-A. He says that Axford was “throwing bowling balls.”  “I don’t think there was a pitch under 97.” #BlueJays,Danny Jansen caught John Axford TripleA He says Axford throwing bowling balls I think pitch BlueJays
0,Mookie Betts scratched from lineup on Tuesday  https://t.co/pzDkjx6UAb,Mookie Betts scratched lineup Tuesday httpstcopzDkjxUAb
0,@letsgochibears I think he didn't talk to the right people or they weren't being honest with him. Jenkins didn't reinjure himself playing. He never took a snap. Clearly they missed it.,letsgochibears I think talk right people honest Jenkins reinjure playing He never took snap Clearly missed
0,"You hurt Connor Joe, I hurt you.",You hurt Connor Joe I hurt
0,"With Aaron Rodgers absent, the #Packers have Jake Dolegala at minicamp as a tryout player, giving them four QBs on the field.",With Aaron Rodgers absent Packers Jake Dolegala minicamp tryout player giving four QBs field
0,#Rays prospect Xavier Edwards starting at 2B in All-Star Futures Game,Rays prospect Xavier Edwards starting B AllStar Futures Game
0,Christian Arroyo joining us on Zoom. #RedSox,Christian Arroyo joining us Zoom RedSox
