injury_report,tweet,clean
1,"@Tate_Roberts_ It's baseball, Tate. Other teams have injuries, too. #Cardinals don't even lead the league. Stop using injuries as an excuse, Tate, for ineffectiveness or inactivity in June when they could have added help.  Pretty simple.",TateRoberts Its baseball Tate Other teams injuries Cardinals even lead league Stop using injuries excuse Tate ineffectiveness inactivity June could added help Pretty simple
1,"Former Largo High star Bobby Roundtree, injured in 2019 accident, dies at 23  https://t.co/juZp5BZeDo",Former Largo High star Bobby Roundtree injured accident dies httpstcojuZpBZeDo
1,"#OTD in 1920 at the Polo Grounds, a fastball by Yankees hurler Carl May hits Cleveland's shortstop Ray Chapman in the head fracturing his skull, Chapman would succumb from his injury. This is believed to be one of the last photos of Chapman colorized by @Dto716  https://t.co/aawil1IqbK",OTD Polo Grounds fastball Yankees hurler Carl May hits Clevelands shortstop Ray Chapman head fracturing skull Chapman would succumb injury This believed one last photos Chapman colorized Dto httpstcoaawilIqbK
1,"@TheJayBaller Showing the injury is completely different than saying, ""here's an inside the park home run"" like nothing else happened on the play.",TheJayBaller Showing injury completely different saying inside park home run like nothing else happened play
1,@JasonTorkelson @MillerStrib Tonight is his second rehab game,JasonTorkelson MillerStrib Tonight second rehab game
1,"@breathehoops that's kinda what he does, same qualities that turned the hawks series in the bucks' favor post-giannis injury.",breathehoops kinda qualities turned hawks series bucks favor postgiannis injury
1,Jack Flaherty is leaving the game with the trainer. Oh boy.,Jack Flaherty leaving game trainer Oh boy
1,Coonrod gets the Buffalo Bisons (wearing Trenton Thunder uniforms) 1-2-3 in his rehab appearance.,Coonrod gets Buffalo Bisons wearing Trenton Thunder uniforms rehab appearance
1,"@Winningugly8 To play second base, I agree with you. Story would be an insurance plan if . . .  You know, I'm not even going to contemplate or put into existence an injury to that player.",Winningugly To play second base I agree Story would insurance plan You know I even going contemplate put existence injury player
1,NEW AT PIRATES PROSPECTS: Weekly Transaction Analysis: Oneil Cruz Returns From the IL #Pirates #PiratesProspects   https://t.co/gQdQKOe4Ej  https://t.co/w3gJi86r5n,NEW AT PIRATES PROSPECTS Weekly Transaction Analysis Oneil Cruz Returns From IL Pirates PiratesProspects httpstcogQdQKOeEj httpstcowgJirn
