injury_report,tweet,clean
0,"""My body feels great, my arm feels great, mentally I’m in a good place, and I’m excited to be here"" - pitchers coming back from a rehab assignment and people in line for their second vaccine shot.",My body feels great arm feels great mentally I good place I excited pitchers coming back rehab assignment people line second vaccine shot
0,"The #Browns are waiving rookie DT Marvin Wilson, source said.   The most coveted undrafted player back in May, Wilson is wanted back on Cleveland's practice squad -- but the other 31 teams have a shot at him on waivers first.",The Browns waiving rookie DT Marvin Wilson source said The coveted undrafted player back May Wilson wanted back Clevelands practice squad teams shot waivers first
0,"@Kchile22 There also might be some U.S. entry protocols related to COVID, not sure what the policy would be right now for someone from Spain who was in Japan",Kchile There also might US entry protocols related COVID sure policy would right someone Spain Japan
0,@BrooksAD May or may not have a torn hamstring in the morning 😂😂,BrooksAD May may torn hamstring morning
0,The Yankees Have Their 2nd Covid Outbreak Of The Season As Tonight's Game Against The Red Sox Has Been Cancelled  https://t.co/dvV5Wa7DPH,The Yankees Have Their nd Covid Outbreak Of The Season As Tonights Game Against The Red Sox Has Been Cancelled httpstcodvVWaDPH
0,@MeekPhill_ We have to declare our keepers in mid-July for mid-August draft and he was one of mine.   However there’s a rule if between the date their kept and draft day if someone gets a confirmed season ending injury you can replace them,MeekPhill We declare keepers midJuly midAugust draft one mine However rule date kept draft day someone gets confirmed season ending injury replace
0,#BlueJays announce they’ve acquired RHP Trevor Richards and RHP Bowden Francis from the Brewers for INF Rowdy Tellez.,BlueJays announce acquired RHP Trevor Richards RHP Bowden Francis Brewers INF Rowdy Tellez
0,", @joerogan tests positive for COVID, says he's taking unapproved deworming drug ivermectin  https://t.co/IgAOZzq2FW #COVID19",joerogan tests positive COVID says taking unapproved deworming drug ivermectin httpstcoIgAOZzqFW COVID
0,"La Russa- Luis Robert will not return this weekend vs. Cubs but says return is ""imminent"".  His play with AAA Charlotte this weekend will be crucial in determining his status.",La Russa Luis Robert return weekend vs Cubs says return imminent His play AAA Charlotte weekend crucial determining status
0,Danny Jansen caught John Axford down in Triple-A. He says that Axford was “throwing bowling balls.”  “I don’t think there was a pitch under 97.” #BlueJays,Danny Jansen caught John Axford TripleA He says Axford throwing bowling balls I think pitch BlueJays
0,Mookie Betts scratched from lineup on Tuesday  https://t.co/pzDkjx6UAb,Mookie Betts scratched lineup Tuesday httpstcopzDkjxUAb
