injury_report,tweet,clean
1,"@GHalston @IanMBrowne Hunter is one of the best RF in baseball, Alex is one of the best LF, Kiké is one of the best CFs. Alex's hamstring issues this season impacted his speed, making him less effective in CF and RF. That OF defensive alignment is really good.",GHalston IanMBrowne Hunter one best RF baseball Alex one best LF Kiké one best CFs Alexs hamstring issues season impacted speed making less effective CF RF That OF defensive alignment really good
1,“It was terrible.”  Padres pregame: Going for another sweep of Reds; Blake Snell recovering from food poisoning  https://t.co/MpkwUrMfz7,It terrible Padres pregame Going another sweep Reds Blake Snell recovering food poisoning httpstcoMpkwUrMfz
1,Domingo Germán takes over for the Yankees in the 5th inning.   He was tonight's scheduled starter but needed an emergency root canal earlier this afternoon in Seattle.,Domingo Germán takes Yankees th inning He tonights scheduled starter needed emergency root canal earlier afternoon Seattle
1,"The Arizona Diamondbacks retained its ninth position in MLB Pipeline's midseason farm system rankings, but some top prospects are injured.   https://t.co/ahqmlYQXT9",The Arizona Diamondbacks retained ninth position MLB Pipelines midseason farm system rankings top prospects injured httpstcoahqmlYQXT
1,Geoff had lost his mom to cancer and tore his ACL the same year. In 2021 he was excited to play at @GallatinSchools but the team gear was badly needing repair. His coach called him in to see the new donations &amp; Geoff smiled the whole time. He took care of it as if it were his own  https://t.co/kP4t7Q70Z0,Geoff lost mom cancer tore ACL year In excited play GallatinSchools team gear badly needing repair His coach called see new donations amp Geoff smiled whole time He took care httpstcokPtQZ
1,"His attendance in question until Saturday because of a positive covid test a week earlier, Troy Polamalu clearly was the favorite among the pro-Steelers fans that made the two-hour drive from #Pittsburgh to attend the ceremony.    https://t.co/92MmJqDps3",His attendance question Saturday positive covid test week earlier Troy Polamalu clearly favorite among proSteelers fans made twohour drive Pittsburgh attend ceremony httpstcoMmJqDps
1,"Best wishes to Keith Hernandez, who needed eight stitches on his big toe following a hot tub-related gardening accident, per Gary Cohen on the SNY broadcast. Looking forward to seeing Keith back at the ballpark later this week.",Best wishes Keith Hernandez needed eight stitches big toe following hot tubrelated gardening accident per Gary Cohen SNY broadcast Looking forward seeing Keith back ballpark later week
1,"Creighton's Rati Andronikashvili (ACL) and Modestas Kancleris (ACL) are both ""getting close"" to being fully cleared, per Greg McDermott.  McDermott on Andronikashvili and Kancleris: ""Doing most everything except full contact.""",Creightons Rati Andronikashvili ACL Modestas Kancleris ACL getting close fully cleared per Greg McDermott McDermott Andronikashvili Kancleris Doing everything except full contact
1,"For subscribers: His doctor estimated that two MRI scans would cost about $500 each. So when he received the bills, he couldn't believe his eyes; he owed more than $14,500.  https://t.co/BZlaPqjPov",For subscribers His doctor estimated two MRI scans would cost So received bills could believe eyes owed httpstcoBZlaPqjPov
1,"The Nats have signed catcher Rene Rivera and optioned Jakson Reetz. They’ve also reinstated Jordy Mercer from the IL. Starlin Castro has been placed on Administrative Leave by Major League Baseball under the Domestic Violence, Sexual Assault and Child Abuse Policy",The Nats signed catcher Rene Rivera optioned Jakson Reetz They also reinstated Jordy Mercer IL Starlin Castro placed Administrative Leave Major League Baseball Domestic Violence Sexual Assault Child Abuse Policy
