,P0,P1
0,-2.529296875,2.76171875
1,3.45703125,-3.326171875
2,3.466796875,-3.326171875
3,3.453125,-3.326171875
4,3.458984375,-3.326171875
5,-2.529296875,2.765625
6,3.46484375,-3.328125
7,3.470703125,-3.326171875
8,3.462890625,-3.326171875
9,-2.529296875,2.763671875
10,-2.529296875,2.763671875
11,3.462890625,-3.326171875
12,3.46484375,-3.326171875
13,3.462890625,-3.326171875
14,3.46484375,-3.326171875
15,3.46484375,-3.326171875
16,3.4609375,-3.326171875
17,-2.53125,2.765625
18,3.45703125,-3.326171875
19,3.46484375,-3.326171875
20,3.466796875,-3.328125
21,-2.53125,2.765625
22,3.4296875,-3.3203125
23,3.46484375,-3.326171875
24,3.46484375,-3.326171875
25,-2.53125,2.765625
26,-2.53125,2.765625
27,3.46484375,-3.326171875
28,3.462890625,-3.326171875
29,-2.529296875,2.763671875
30,3.466796875,-3.326171875
31,3.462890625,-3.326171875
32,-2.529296875,2.765625
33,-2.53125,2.765625
34,3.462890625,-3.328125
35,3.466796875,-3.326171875
36,3.466796875,-3.328125
37,3.46484375,-3.326171875
38,3.46484375,-3.326171875
39,3.46875,-3.328125
40,-2.529296875,2.765625
41,3.466796875,-3.326171875
42,3.458984375,-3.326171875
43,-2.53125,2.765625
44,3.462890625,-3.326171875
45,3.45703125,-3.326171875
46,-2.53125,2.765625
47,3.46875,-3.326171875
48,3.462890625,-3.326171875
49,3.46484375,-3.326171875
50,-2.525390625,2.75
51,3.46484375,-3.326171875
52,-2.52734375,2.7578125
53,-2.529296875,2.765625
54,3.458984375,-3.326171875
55,3.462890625,-3.328125
56,3.46875,-3.326171875
57,3.46875,-3.328125
58,-2.53125,2.765625
59,3.46484375,-3.326171875
60,-2.53125,2.765625
61,3.44921875,-3.326171875
62,3.458984375,-3.326171875
63,3.4609375,-3.326171875
64,-1.3251953125,0.9765625
65,3.466796875,-3.326171875
66,3.46484375,-3.326171875
67,-2.53125,2.765625
68,3.4609375,-3.326171875
69,3.46875,-3.328125
70,3.462890625,-3.326171875
71,-2.53125,2.765625
72,3.46484375,-3.328125
73,-2.529296875,2.765625
74,-2.53125,2.765625
75,-2.53125,2.765625
76,3.466796875,-3.328125
77,3.45703125,-3.326171875
78,3.44140625,-3.32421875
79,-2.53125,2.765625
80,3.462890625,-3.326171875
81,3.458984375,-3.328125
82,-2.529296875,2.765625
83,3.46875,-3.326171875
84,3.45703125,-3.326171875
85,3.46875,-3.328125
86,3.4609375,-3.326171875
87,3.197265625,-3.212890625
88,-2.529296875,2.763671875
89,3.4609375,-3.326171875
90,3.46484375,-3.326171875
91,3.46484375,-3.326171875
92,3.458984375,-3.328125
93,-2.529296875,2.765625
94,3.46484375,-3.326171875
95,3.466796875,-3.328125
96,3.453125,-3.328125
97,-2.53125,2.765625
98,1.5966796875,-1.8603515625
99,3.4453125,-3.32421875
100,3.455078125,-3.326171875
101,3.46484375,-3.326171875
102,3.46484375,-3.326171875
103,-2.53125,2.765625
104,3.4609375,-3.326171875
105,3.466796875,-3.326171875
106,3.46875,-3.326171875
107,3.458984375,-3.326171875
108,3.4609375,-3.328125
109,3.458984375,-3.326171875
110,3.46875,-3.326171875
111,3.466796875,-3.326171875
112,3.466796875,-3.326171875
113,-2.529296875,2.765625
114,3.46875,-3.326171875
115,3.439453125,-3.32421875
116,-2.53125,2.765625
117,3.451171875,-3.326171875
118,3.462890625,-3.326171875
119,3.46484375,-3.326171875
120,3.462890625,-3.328125
121,3.45703125,-3.32421875
122,3.458984375,-3.326171875
123,3.4609375,-3.328125
124,3.458984375,-3.326171875
125,3.466796875,-3.326171875
126,1.7177734375,-1.9580078125
127,3.462890625,-3.326171875
128,-2.53125,2.765625
129,3.466796875,-3.326171875
130,-2.529296875,2.765625
131,3.3671875,-3.298828125
132,3.46484375,-3.326171875
133,3.4609375,-3.326171875
134,3.466796875,-3.326171875
135,3.46484375,-3.326171875
136,-2.529296875,2.763671875
137,3.365234375,-3.302734375
138,3.46484375,-3.326171875
139,3.466796875,-3.326171875
140,3.447265625,-3.326171875
141,-2.53125,2.765625
142,1.78125,-2.005859375
143,3.466796875,-3.326171875
144,-2.52734375,2.759765625
145,3.46484375,-3.328125
146,3.46484375,-3.326171875
147,3.458984375,-3.326171875
148,3.462890625,-3.326171875
149,3.458984375,-3.326171875
150,3.455078125,-3.326171875
151,3.46484375,-3.326171875
