,index,fn tweet
0,188,#Brewers Kolten Wong talks about frustration of first half injuries and wanting to get back on the field after the break.  https://t.co/GprZt2i4Rl
1,215,Blake Snell has been scratched from his scheduled start tonight.  Craig Stammen will start.
2,405,"Jose Ramirez grounded out to end the inning, but he appears to be OK after fouling a ball off his face, which seems like it would hurt a whole lot."
3,534,Abolish hamstrings
4,629,“It was terrible.”  Padres pregame: Going for another sweep of Reds; Blake Snell recovering from food poisoning  https://t.co/MpkwUrMfz7
5,656,"@turf_burner @AstrosFuture They could do that if they recalled them first, which would guarantee them MLB pay/service time while out. Teams generally don't want to do that. The 60-day IL is a major league IL. If you're injured while in the minors, you're a minor leaguer for IL purposes."
6,668,"Neither Anthony Rendon nor Taylor Ward are playing tonight. Neither on the IL yet, but Joe Maddon unsure yet if that’ll happen."
7,757,"Steven Matz said that he felt good through his live bullpen session and even warmups tonight, but when the game started:  “The sharpness just wasn’t there. It was a little frustrating.” #BlueJays"
8,918,Cimber (2.88 ERA) is really the key in the trade for Jays with their struggling pen. There’s no timetable yet on Dickerson return.
9,1022,Daniel Hudson threw a 21-pitch bullpen today and came out okay. Kyle Finnegan played catch after throwing a bullpen yesterday. Martinez had predicted that Finnegan could come off early/middle of this week if he kept progressing well.
10,1207,"Javy Ks.  Game.  Dodgers 7, Cubs 1. HR -- Baez, McKinstry, Bellinger WP -- Kershaw LP -- Alzolay Back Tightness -- Rizzo  On deck: Three games in Milwaukee against 3 starters (Peralta, Woodruff, Burnes) who went a combined 4-0 with a 0.90 ERA in seven April starts vs. the Cubs."
11,1341,"Justin Hardee, a special teams standout, just headed inside with a trainer while walking with a little bit of a limp. #Jets"
12,1349,Blake Snell is fully vaccinated and has tested negative for Covid.
13,1485,Will Juan Soto rediscover his power stroke? Can injured stars return to make a big difference? What happens at the trade deadline?  @MarkZuckerman looks at the Nats' second-half storylines.  https://t.co/TaCLHrUELF
14,1592,Girardi: Ranger Suarez hurt his back before the game. He wasn't available. Probably would have used him in the fifth instead of Neftali Feliz.
15,1726,Héctor Santiago will be notified of MLB’s decision on his appeal from yesterday on Wednesday. His glove was examined here in Seattle as part of the process.
16,1759,"Wanda the Walleye did not win tonight's Minnesota animal race. In other news, it looked like the Target dog suffered like four injuries at once while coming out of the gate and limped through the raindrops. Still managed to give out high fives, though. A real gutsy performance."
17,1822,"What a series this was for the Orioles. They swept the first-place Astros in Houston, despite injury and two games of walks.   Wednesday’s victory was the cleanest and most collective, maybe of their entire season.    FINAL: Orioles, 5. Astros, 2."
18,2162,"Jose Ramirez was hit in the face w/ a foul ball, requiring a trip to the hospital. He returned during the second game and told Terry Francona, 'I'm ready to go in'  Tito: 'He's unbelievable'  On Ramirez's night and a good sign for Bobby Bradley's swing:  https://t.co/AqYlYa8226"
19,2389,"For the last day of #HOPEWeek, Yankees players joined Luke Post to play video games virtually. Luke, who was diagnosed with t-cell lymphoblastic lymphoma, designed and sold more than 200 shirts and raised over $6,000 to help kids like himself at UVA Children’s Hospital.  https://t.co/WNSW5XZhKB"
20,2403,"Steven Matz has cleared COVID-19 protocol and rejoined Blue Jays. He threw 60 pitches of live batting practice at Sahlen Field in Buffalo today.  No exact date yet, but Matz is expected to make his next start for Blue Jays. Likely during next week’s series vs. Mariners."
21,2467,Or maybe he dropped a hand weight on his toe!
22,2470,"Johnny Cueto has been sick this week, said he's been getting fluids for the last three days and didn't have any energy. But added that's not an excuse, he wanted to pitch."
23,2674,"Fans go wild when Cease strikes Donaldson out to end the top of the third.  Looked like Cease might've been nodding at the crowd a bit as he walked off the mound? That could be anything, of course. But as the Hawkeroo once said, ""under the circumstances"" ..."
24,2701,"@frank_seravalli @IneffectiveMath @GarretHohl A number of professional athletes were unable to find space to schedule surgeries as the pandemic surged last fall and winter. This was an issue for baseball players in need of Tommy John, for instance."
25,2783,"Pedro Baez threw 25 pitches in live BP today, per Dusty Baker"
26,2957,"Maddon said even if they don't play tomorrow, ""it should not be something elongated. That's the original diagnosis I've been given."""
27,2991,"Cora said Sale and Seabold will both throw live BP in Fort Myers on Tuesday. Sale will work two innings, Seabold will work three innings. #RedSox"
28,3109,Giants say Brandon Belt is starting light baseball activity today.
29,3121,"@EricLloyd given the weather this weekend, we should get a mulligan and try it again starting tomorrow."
