,index,fn tweet
0,188,#Brewers Kolten Wong talks about frustration of first half injuries and wanting to get back on the field after the break.  https://t.co/GprZt2i4Rl
1,202,"Shoutout to our Nonprofit Partner of the Game, @aarbf!  Alisa Ann Ruch Burn Foundation’s mission is to reduce the number of burn injuries through prevention education to enhance the quality of life of those affected in California.   https://t.co/NwozirJPKU | @kpnorcal  https://t.co/TkE0iua4Sk"
2,405,"Jose Ramirez grounded out to end the inning, but he appears to be OK after fouling a ball off his face, which seems like it would hurt a whole lot."
3,409,"Several roster moves from the Astros:  - Yordan Alvarez is off the paternity list - Martín Maldonado is off the bereavement list - Garrett Stubbs, Ralph Garza Jr. and Peter Solomon optioned to Class AAA Sugar Land."
4,534,Abolish hamstrings
5,656,"@turf_burner @AstrosFuture They could do that if they recalled them first, which would guarantee them MLB pay/service time while out. Teams generally don't want to do that. The 60-day IL is a major league IL. If you're injured while in the minors, you're a minor leaguer for IL purposes."
6,668,"Neither Anthony Rendon nor Taylor Ward are playing tonight. Neither on the IL yet, but Joe Maddon unsure yet if that’ll happen."
7,899,"Wisdom hit in the left hand/wrist by Woodruff's pitch. In some pretty serious pain but after a convo with Ross/trainer, stays in the game."
8,1002,Jarred Kelenic's return happens to be on his 22nd birthday.
9,1277,"@MelnykMustGo @SavageDipoto Well, I don't think they anticipated Pax, Margevicius and LJAy to have season-ending injuries or that Sheffield would struggle this much."
10,1317,"@TCollinsDFS Snitker said he plans to split the duties between Lucroy and Kevan Smith for the time being. They just optioned Contreras, so I wouldn't expect him to be back soon unless there's an injury."
11,1341,"Justin Hardee, a special teams standout, just headed inside with a trainer while walking with a little bit of a limp. #Jets"
12,1349,Blake Snell is fully vaccinated and has tested negative for Covid.
13,1485,Will Juan Soto rediscover his power stroke? Can injured stars return to make a big difference? What happens at the trade deadline?  @MarkZuckerman looks at the Nats' second-half storylines.  https://t.co/TaCLHrUELF
14,1608,"Miguel Yajure has resumed throwing off the mound and has started a side progression, per Tomczyk.  First on the news: Literally, Miguel Yajure."
15,1759,"Wanda the Walleye did not win tonight's Minnesota animal race. In other news, it looked like the Target dog suffered like four injuries at once while coming out of the gate and limped through the raindrops. Still managed to give out high fives, though. A real gutsy performance."
16,1822,"What a series this was for the Orioles. They swept the first-place Astros in Houston, despite injury and two games of walks.   Wednesday’s victory was the cleanest and most collective, maybe of their entire season.    FINAL: Orioles, 5. Astros, 2."
17,2162,"Jose Ramirez was hit in the face w/ a foul ball, requiring a trip to the hospital. He returned during the second game and told Terry Francona, 'I'm ready to go in'  Tito: 'He's unbelievable'  On Ramirez's night and a good sign for Bobby Bradley's swing:  https://t.co/AqYlYa8226"
18,2389,"For the last day of #HOPEWeek, Yankees players joined Luke Post to play video games virtually. Luke, who was diagnosed with t-cell lymphoblastic lymphoma, designed and sold more than 200 shirts and raised over $6,000 to help kids like himself at UVA Children’s Hospital.  https://t.co/WNSW5XZhKB"
19,2467,Or maybe he dropped a hand weight on his toe!
20,2470,"Johnny Cueto has been sick this week, said he's been getting fluids for the last three days and didn't have any energy. But added that's not an excuse, he wanted to pitch."
21,2701,"@frank_seravalli @IneffectiveMath @GarretHohl A number of professional athletes were unable to find space to schedule surgeries as the pandemic surged last fall and winter. This was an issue for baseball players in need of Tommy John, for instance."
22,2929,Sick  https://t.co/CMhbNnHvmV
23,2957,"Maddon said even if they don't play tomorrow, ""it should not be something elongated. That's the original diagnosis I've been given."""
