,P0,P1
0,-2.298828125,2.787109375
1,3.572265625,-4.734375
2,3.595703125,-4.7578125
3,3.71875,-4.8125
4,2.95703125,-4.140625
5,3.66015625,-4.7890625
6,3.755859375,-4.8359375
7,3.74609375,-4.83203125
8,3.32421875,-4.53515625
9,3.728515625,-4.8203125
10,3.6640625,-4.7890625
11,3.49609375,-4.69140625
12,3.7109375,-4.81640625
13,3.61328125,-4.76171875
14,3.6484375,-4.78515625
15,3.69921875,-4.8125
16,3.412109375,-4.62109375
17,3.587890625,-4.75
18,3.71875,-4.81640625
19,3.779296875,-4.84375
20,3.74609375,-4.83203125
21,3.71484375,-4.8203125
22,3.5859375,-4.75
23,3.66015625,-4.7890625
24,3.669921875,-4.796875
25,3.779296875,-4.83984375
26,3.693359375,-4.80859375
27,3.435546875,-4.640625
28,3.69140625,-4.80859375
29,3.71484375,-4.81640625
30,3.74609375,-4.8359375
31,3.765625,-4.84375
32,3.650390625,-4.78515625
33,3.60546875,-4.7578125
34,3.09765625,-4.3046875
35,3.78125,-4.83984375
36,3.75390625,-4.828125
37,3.736328125,-4.82421875
38,3.5625,-4.734375
39,3.705078125,-4.8125
40,3.6171875,-4.76171875
41,3.68359375,-4.80859375
42,3.4296875,-4.6328125
43,-2.27734375,2.783203125
44,3.78515625,-4.84375
45,3.75390625,-4.8359375
46,3.6796875,-4.8046875
47,3.755859375,-4.8359375
48,3.701171875,-4.81640625
49,3.71484375,-4.81640625
50,1.873046875,-2.984375
51,3.669921875,-4.80078125
52,3.677734375,-4.80078125
53,3.275390625,-4.4921875
54,3.732421875,-4.82421875
55,3.728515625,-4.8203125
56,3.7578125,-4.8359375
57,3.005859375,-4.1875
58,3.66796875,-4.79296875
59,3.541015625,-4.72265625
60,3.314453125,-4.53515625
61,3.013671875,-4.1953125
62,3.78515625,-4.84765625
63,3.193359375,-4.40625
64,2.716796875,-3.876953125
65,3.748046875,-4.828125
66,3.396484375,-4.609375
67,3.701171875,-4.80859375
68,3.623046875,-4.76953125
69,-2.28515625,2.78515625
70,3.453125,-4.66015625
71,3.625,-4.7734375
72,3.6328125,-4.7734375
73,3.6640625,-4.79296875
74,3.640625,-4.77734375
