,P0,P1
0,-3.669921875,4.3359375
1,4.72265625,-4.1953125
2,4.72265625,-4.2109375
3,4.7421875,-4.19921875
4,4.72265625,-4.2109375
5,-4.125,4.94140625
6,4.52734375,-4.01953125
7,4.7421875,-4.20703125
8,4.65625,-4.07421875
9,-4.12890625,4.94140625
10,-4.09375,4.8828125
11,4.2109375,-3.775390625
12,4.7578125,-4.2421875
13,4.71875,-4.234375
14,4.140625,-3.6484375
15,3.685546875,-3.212890625
16,4.0703125,-3.552734375
17,-4.0703125,4.8359375
18,4.72265625,-4.16015625
19,4.72265625,-4.203125
20,4.69921875,-4.12109375
21,4.4140625,-3.849609375
22,4.68359375,-4.171875
23,4.765625,-4.203125
24,2.564453125,-2.2109375
25,-4.140625,4.9296875
26,-4.140625,4.93359375
27,4.703125,-4.16796875
28,4.671875,-4.1328125
29,-2.697265625,3.08203125
30,1.931640625,-1.740234375
31,2.88671875,-2.541015625
32,-4.1328125,4.93359375
33,-3.982421875,4.71875
34,3.8515625,-3.369140625
35,4.69140625,-4.1953125
36,4.72265625,-4.2265625
37,4.5859375,-3.9765625
38,4.64453125,-4.12890625
39,4.75390625,-4.23046875
40,-4.13671875,4.91796875
41,4.703125,-4.23046875
42,4.703125,-4.19140625
43,-4.14453125,4.9375
44,4.7578125,-4.2421875
45,-3.080078125,3.580078125
46,-4.12890625,4.9453125
47,4.734375,-4.203125
48,4.0390625,-3.587890625
49,4.74609375,-4.23046875
50,-3.75,4.4140625
51,4.64453125,-4.109375
52,-3.0625,3.599609375
53,3.03515625,-2.5546875
54,4.3984375,-3.94921875
55,4.72265625,-4.19140625
56,4.72265625,-4.19921875
57,4.703125,-4.1875
58,-4.12109375,4.94140625
59,4.75390625,-4.21875
60,-4.13671875,4.9296875
61,4.734375,-4.22265625
62,4.68359375,-4.12109375
63,3.908203125,-3.501953125
64,4.51171875,-4.00390625
65,4.4921875,-3.98046875
66,3.572265625,-3.2109375
67,-3.701171875,4.35546875
68,3.890625,-3.412109375
69,4.7421875,-4.24609375
70,4.75390625,-4.19140625
71,-4.12890625,4.92578125
72,4.26953125,-3.76953125
73,-4.12890625,4.9453125
74,-3.36328125,3.958984375
75,-4.0703125,4.83984375
76,4.76171875,-4.2265625
77,4.6328125,-4.08984375
78,0.962890625,-0.955078125
79,-4.09765625,4.87890625
80,4.3828125,-3.916015625
81,3.919921875,-3.408203125
82,0.86181640625,-0.337158203125
83,4.7578125,-4.23046875
84,4.72265625,-4.140625
85,4.75390625,-4.234375
86,4.71875,-4.16796875
87,4.4609375,-3.873046875
88,-3.53515625,4.140625
89,3.919921875,-3.408203125
90,4.59375,-3.962890625
91,4.3515625,-3.861328125
92,4.08203125,-3.556640625
93,-4.1328125,4.9453125
94,4.69921875,-4.19140625
95,4.734375,-4.17578125
96,4.08203125,-3.556640625
97,-4.13671875,4.91015625
98,-3.080078125,3.552734375
99,-2.65625,3.095703125
100,4.6328125,-4.0859375
101,4.734375,-4.1640625
102,4.7734375,-4.23046875
103,-4.08984375,4.90625
104,4.7734375,-4.21875
105,4.75390625,-4.24609375
106,4.76171875,-4.22265625
107,4.609375,-4.09375
108,4.140625,-3.62890625
109,4.53515625,-4.01171875
110,4.63671875,-4.12890625
111,4.15625,-3.65625
